Species,EnrichDeplete,Counts,labels_1,labels_2,show_name,Kingdom,ED-Label
Streptococcus milleri,Enriched,5,rank2,none,,Bacteria,Bac_En
Cordyceps sp. RAO-2017,Enriched,2,rank3,Eukaryota,,Eukaryota,Euk_En
Hyaloscypha variabilis,Depleted,3,rank3,Eukaryota,,Eukaryota,Euk_De
Paracoccidioides brasiliensis,Depleted,3,rank3,Eukaryota,,Eukaryota,Euk_De
Naumovozyma dairenensis,Depleted,8,rank2,Eukaryota,,Eukaryota,Euk_De
Thielaviopsis punctulata,Enriched,22,rank1,Eukaryota,Thielaviopsis punctulata,Eukaryota,Euk_En
Aspergillus ochraceoroseus,Enriched,7,rank2,Eukaryota,,Eukaryota,Euk_En
Pseudocercospora musae,Depleted,5,rank2,Eukaryota,,Eukaryota,Euk_De
Phytophthora capsici,Enriched,4,rank3,Eukaryota,,Eukaryota,Euk_En
Aspergillus kawachii,Depleted,1,rank3,Eukaryota,,Eukaryota,Euk_De
Streptococcus equinus,Depleted,6,rank2,none,,Bacteria,Bac_De
Colletotrichum fioriniae,Depleted,3,rank3,Eukaryota,,Eukaryota,Euk_De
Lactobacillus ruminis,Depleted,3,rank3,Potential Probiotic,Lactobacillus ruminis,Bacteria,Bac_De
Coniochaeta ligniaria,Enriched,3,rank3,Eukaryota,,Eukaryota,Euk_En
Prevotella intermedia,Enriched,7,rank2,Potential Pathogens,Prevotella intermedia,Bacteria,Bac_En
Colletotrichum salicis,Depleted,2,rank3,Eukaryota,,Eukaryota,Euk_De
Edhazardia aedis,Depleted,14,rank1,Eukaryota,Edhazardia aedis,Eukaryota,Euk_De
Pneumocystis murina,Depleted,3,rank3,Eukaryota,,Eukaryota,Euk_De
Porphyromonas asaccharolytica,Enriched,2,rank3,Potential Pathogens,Porphyromonas asaccharolytica,Bacteria,Bac_En
Trichophyton mentagrophytes,Depleted,1,rank3,Eukaryota,,Eukaryota,Euk_De
Choanephora cucurbitarum,Depleted,8,rank2,Eukaryota,,Eukaryota,Euk_De
Debaryomyces hansenii,Depleted,1,rank3,Eukaryota,,Eukaryota,Euk_De
Tuber magnatum,Depleted,5,rank2,Eukaryota,,Eukaryota,Euk_De
Lactococcus garvieae,Depleted,2,rank3,none,,Bacteria,Bac_De
Escherichia coli,Enriched,1,rank3,none,,Bacteria,Bac_En
Lipomyces starkeyi,Depleted,3,rank3,Eukaryota,,Eukaryota,Euk_De
Bifidobacterium adolescentis,Depleted,1,rank3,none,,Bacteria,Bac_De
