Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,type,abs_zScoreDiff,PostNeg,zScore_rank
Erysiphe pulchra,Albugo candida,-0.065737825,0.16200936,0.256253263,2.57E-09,5.100869725,3.38E-07,0.011458333,0.446238122,0/+,Eukaryota,5.100869725,1,rank2
Parvimonas micra,Aspergillus rambellii,0.32289864,1.78E-12,0.009153292,0.834266549,-5.066637612,4.05E-07,0.01155754,0.446238122,+/0,Intersect,5.066637612,-1,rank2
Aspergillus rambellii,Moniliophthora perniciosa,0.33843,1.25E-13,0.584756509,0,4.936223367,7.96E-07,0.011904762,0.446238122,+/+,Eukaryota,4.936223367,1,rank3
Streptococcus salivarius,Pichia kudriavzevii,0.428725738,0,0.140380396,0.001260454,-4.931225656,8.17E-07,0.011904762,0.446238122,+/+,Intersect,4.931225656,-1,rank3
Trichoderma atroviride,Phytopythium vexans,0.364955393,8.88E-16,0.070894594,0.104681473,-4.846550297,1.26E-06,0.012549603,0.446238122,+/0,Eukaryota,4.846550297,-1,rank3
Albugo candida,Naumovozyma dairenensis,0.321904923,2.10E-12,0.028189315,0.519259762,-4.753171831,2.00E-06,0.013095238,0.446238122,+/0,Eukaryota,4.753171831,-1,rank3
Parvimonas micra,Sphaerulina musiva,0.311997932,1.05E-11,0.019951063,0.648323767,-4.710077832,2.48E-06,0.013244048,0.446238122,+/0,Intersect,4.710077832,-1,rank3
Gemella morbillorum,Fusobacterium periodonticum,0.316928209,4.74E-12,0.025751811,0.55603615,-4.70490651,2.54E-06,0.013244048,0.446238122,+/0,Bacteria,4.70490651,-1,rank3
Sphaerulina musiva,Leucoagaricus sp. SymC.cos,-0.10609722,0.023771954,0.19240061,9.02E-06,4.687108495,2.77E-06,0.013293651,0.446238122,-/+,Eukaryota,4.687108495,1,rank3
Phytopythium vexans,Thielaviopsis punctulata,-0.106992605,0.022608618,0.189570108,1.23E-05,4.6555011,3.23E-06,0.013293651,0.446238122,-/+,Eukaryota,4.6555011,1,rank3
Gemella morbillorum,Pichia kudriavzevii,0.274984279,2.55E-09,-0.015553357,0.722181895,-4.632286903,3.62E-06,0.013293651,0.446238122,+/0,Intersect,4.632286903,-1,rank3
Erysiphe pulchra,Rhizophagus clarus,-0.115383917,0.013895232,0.177039744,4.52E-05,4.585973401,4.52E-06,0.01359127,0.446238122,-/+,Eukaryota,4.585973401,1,rank3
Pichia kudriavzevii,Choanephora cucurbitarum,0.049611611,0.291505943,0.323607424,2.89E-14,4.448994111,8.63E-06,0.014335317,0.446238122,0/+,Eukaryota,4.448994111,1,rank3
Erysiphe pulchra,Aspergillus ochraceoroseus,0.253443623,4.38E-08,-0.026028268,0.551802124,-4.435067083,9.20E-06,0.014484127,0.446238122,+/0,Eukaryota,4.435067083,-1,rank3
Romboutsia ilealis,Adlercreutzia equolifaciens,0.284721891,6.48E-10,0.010981026,0.801802689,-4.383860974,1.17E-05,0.015128968,0.446238122,+/0,Bacteria,4.383860974,-1,rank3
Erysiphe pulchra,Tuber magnatum,-0.050284295,0.285004738,0.225022353,1.88E-07,4.343966445,1.40E-05,0.015575397,0.446238122,0/+,Eukaryota,4.343966445,1,rank3
Erysiphe pulchra,Pneumocystis murina,-0.057797416,0.219020008,0.215280543,6.38E-07,4.301922321,1.69E-05,0.01577381,0.446238122,0/+,Eukaryota,4.301922321,1,rank3
Butyrivibrio proteoclasticus,Prevotella intermedia,0.001959549,0.966787608,0.269784878,3.31E-10,4.272498167,1.93E-05,0.016121032,0.446238122,0/+,Bacteria,4.272498167,1,rank3
Gemella morbillorum,Streptococcus anginosus,0.285632413,5.69E-10,0.021722899,0.619466657,-4.232142835,2.31E-05,0.016666667,0.446238122,+/0,Bacteria,4.232142835,-1,rank3
Fusobacterium nucleatum,Edhazardia aedis,0.024887971,0.596864496,0.287763254,1.81E-11,4.218997066,2.45E-05,0.01671627,0.446238122,0/+,Intersect,4.218997066,1,rank3
Gemella morbillorum,Lactococcus garvieae,0.265515434,9.18E-09,0.003358786,0.938801566,-4.179197563,2.93E-05,0.016964286,0.446238122,+/0,Bacteria,4.179197563,-1,rank3
Fusobacterium nucleatum,Sphaerulina musiva,0.267543113,7.01E-09,0.00693504,0.874043208,-4.15752001,3.22E-05,0.017162698,0.446238122,+/0,Intersect,4.15752001,-1,rank3
Anaerostipes hadrus,Pseudobutyrivibrio xylanivorans,0.490823984,0,0.265172155,6.73E-10,-4.129539012,3.63E-05,0.017261905,0.446238122,+/+,Bacteria,4.129539012,-1,rank3
Anaerostipes hadrus,Aspergillus ochraceoroseus,0.002026942,0.96564605,0.259034091,1.70E-09,4.091649997,4.28E-05,0.01765873,0.446238122,0/+,Intersect,4.091649997,1,rank3
Gemella morbillorum,Prevotella intermedia,0.303713475,3.84E-11,0.052485523,0.229923651,-4.060941072,4.89E-05,0.018105159,0.446238122,+/0,Bacteria,4.060941072,-1,rank3
[Eubacterium] eligens,Streptococcus salivarius,0.281383757,1.04E-09,0.031157895,0.476224314,-4.013414969,5.98E-05,0.018650794,0.446238122,+/0,Bacteria,4.013414969,-1,rank3
Clostridium beijerinckii,Fusobacterium periodonticum,-0.021773772,0.643568212,0.223599528,2.26E-07,3.87657706,0.000105936,0.020039683,0.446238122,0/+,Bacteria,3.87657706,1,rank3
Streptococcus anginosus,Pichia kudriavzevii,0.245736285,1.14E-07,0.001726152,0.968526147,-3.875406281,0.000106447,0.020089286,0.446238122,+/0,Intersect,3.875406281,-1,rank3
Adlercreutzia equolifaciens,Thielaviopsis punctulata,-0.014814091,0.75291729,0.229691138,1.03E-07,3.86816894,0.000109656,0.020337302,0.446238122,0/+,Intersect,3.86816894,1,rank3
Clostridium beijerinckii,Pichia kudriavzevii,0.374811617,0,0.144771196,0.00087862,-3.860942482,0.00011295,0.020486111,0.446238122,+/+,Intersect,3.860942482,-1,rank3
Brachyspira pilosicoli,Edhazardia aedis,0.237908748,2.91E-07,-0.005444646,0.90095418,-3.857628422,0.000114493,0.020535714,0.446238122,+/0,Intersect,3.857628422,-1,rank3
Fusobacterium nucleatum,Prevotella intermedia,0.272143725,3.76E-09,0.032337131,0.459685962,-3.839401721,0.000123334,0.020684524,0.446238122,+/0,Bacteria,3.839401721,-1,rank3
Erysiphe pulchra,Baudoinia panamericana,-0.069381043,0.13993726,0.175272552,5.40E-05,3.835742218,0.000125186,0.020734127,0.446238122,0/+,Eukaryota,3.835742218,1,rank3
Romboutsia ilealis,[Eubacterium] eligens,0.305812669,2.77E-11,0.070205545,0.108107044,-3.820255517,0.000133313,0.020833333,0.446238122,+/0,Bacteria,3.820255517,-1,rank3
Streptococcus salivarius,Streptococcus milleri,0.682964404,0,0.530745607,0,-3.787094472,0.000152419,0.021081349,0.446238122,+/+,Bacteria,3.787094472,-1,rank3
Fusobacterium nucleatum,Moniliophthora perniciosa,0.329338011,6.03E-13,0.098305507,0.02428743,-3.787018494,0.000152466,0.021081349,0.446238122,+/+,Intersect,3.787018494,-1,rank3
Fusobacterium periodonticum,Edhazardia aedis,-0.068183248,0.146923988,0.173142682,6.67E-05,3.782855259,0.00015504,0.021081349,0.446238122,0/+,Intersect,3.782855259,1,rank3
Romboutsia ilealis,Rhizophagus irregularis,0.281697843,9.97E-10,0.048105934,0.271220934,-3.754675078,0.000173566,0.021378968,0.446238122,+/0,Intersect,3.754675078,-1,rank3
Pseudobutyrivibrio xylanivorans,Streptococcus thermophilus,0.283275315,7.97E-10,0.050145145,0.2514012,-3.749543881,0.000177156,0.021478175,0.446238122,+/0,Bacteria,3.749543881,-1,rank3
Clostridium beijerinckii,Albugo candida,0.275267419,2.45E-09,0.044688415,0.306776058,-3.699514504,0.000216012,0.022271825,0.446238122,+/0,Intersect,3.699514504,-1,rank3
Rhizophagus irregularis,Erysiphe pulchra,-0.088968371,0.05819776,0.145056764,0.000857939,3.659933769,0.00025228,0.022867063,0.446238122,0/+,Eukaryota,3.659933769,1,rank3
Aspergillus rambellii,Aspergillus ochraceoroseus,0.209637673,6.65E-06,-0.021246847,0.627165089,-3.640504771,0.000272104,0.023214286,0.446238122,+/0,Eukaryota,3.640504771,-1,rank3
Butyrivibrio proteoclasticus,Clostridium beijerinckii,0.598981169,0,0.429073453,0,-3.621121646,0.000293329,0.023363095,0.446238122,+/+,Bacteria,3.621121646,-1,rank3
Schizosaccharomyces pombe,Edhazardia aedis,0.360547752,2.22E-15,0.144011089,0.000935936,-3.61645308,0.000298667,0.023363095,0.446238122,+/+,Eukaryota,3.61645308,-1,rank3
Leucoagaricus sp. SymC.cos,Edhazardia aedis,0.358504542,3.11E-15,0.142814128,0.001033233,-3.598962779,0.000319489,0.023511905,0.446238122,+/+,Eukaryota,3.598962779,-1,rank3
Erysiphe pulchra,Leucoagaricus sp. SymC.cos,-0.073541157,0.117638884,0.154203725,0.000391035,3.56390488,0.000365378,0.023958333,0.446238122,0/+,Eukaryota,3.56390488,1,rank3
Sphaerulina musiva,Phytophthora capsici,-0.007249839,0.877569934,0.217424832,4.90E-07,3.549651037,0.000385742,0.024156746,0.446238122,0/+,Eukaryota,3.549651037,1,rank3
Dialister pneumosintes,Prevotella intermedia,0.338466773,1.25E-13,0.125797842,0.003889379,-3.513728207,0.000441865,0.024950397,0.446238122,+/+,Bacteria,3.513728207,-1,rank3
Clostridium beijerinckii,Aspergillus ochraceoroseus,0.250366566,6.44E-08,0.031832028,0.466730296,-3.483691035,0.00049455,0.025347222,0.446238122,+/0,Intersect,3.483691035,-1,rank3
Pseudobutyrivibrio xylanivorans,Clostridium beijerinckii,0.57081622,0,0.401078569,0,-3.481171856,0.000499225,0.025396825,0.446238122,+/+,Bacteria,3.481171856,-1,rank3
Rhizophagus clarus,Thielaviopsis punctulata,-0.147082264,0.00167575,0.074967275,0.086155237,3.472864675,0.000514935,0.025545635,0.446238122,-/0,Eukaryota,3.472864675,1,rank3
Erysiphe pulchra,Hyaloscypha variabilis,-0.094262698,0.044705391,0.126749106,0.003625809,3.452842531,0.000554713,0.025843254,0.446238122,-/+,Eukaryota,3.452842531,1,rank3
[Candida] arabinofermentans,Edhazardia aedis,0.417949651,0,0.220828115,3.20E-07,-3.43263279,0.000597751,0.026190476,0.446238122,+/+,Eukaryota,3.43263279,-1,rank3
Erysiphe pulchra,[Candida] arabinofermentans,-0.061809823,0.1886358,0.155741016,0.000341172,3.405084289,0.000661436,0.026686508,0.446238122,0/+,Eukaryota,3.405084289,1,rank3
Streptococcus milleri,Albugo candida,0.266759938,7.78E-09,0.054647524,0.211269664,-3.401392863,0.000670434,0.026736111,0.446238122,+/0,Intersect,3.401392863,-1,rank3
Cordyceps sp. RAO-2017,Thielaviopsis punctulata,-0.060330268,0.199457446,0.156130673,0.000329511,3.388195927,0.00070354,0.026984127,0.446238122,0/+,Eukaryota,3.388195927,1,rank3
Hyaloscypha variabilis,Thielaviopsis punctulata,-0.104763093,0.025601219,0.110941579,0.010965739,3.368397629,0.000756065,0.027281746,0.446238122,-/+,Eukaryota,3.368397629,1,rank3
Paracoccidioides brasiliensis,Tuber magnatum,0.273129698,3.29E-09,0.064413122,0.14050769,-3.355817552,0.000791308,0.027480159,0.446238122,+/0,Eukaryota,3.355817552,-1,rank3
Streptococcus salivarius,Schizosaccharomyces pombe,0.217145428,3.01E-06,0.005072261,0.90769706,-3.353417949,0.000798201,0.027579365,0.446238122,+/0,Intersect,3.353417949,-1,rank3
Anaerostipes hadrus,Pichia kudriavzevii,0.435944468,0,0.246501041,1.05E-08,-3.352525422,0.000800779,0.027579365,0.446238122,+/+,Intersect,3.352525422,-1,rank3
Pichia kudriavzevii,Naumovozyma dairenensis,0.220764569,2.04E-06,0.008942322,0.838033074,-3.352346736,0.000801296,0.027579365,0.446238122,+/0,Eukaryota,3.352346736,-1,rank3
Clostridium beijerinckii,Naumovozyma dairenensis,0.217457398,2.91E-06,0.00563238,0.897557492,-3.34979827,0.000808704,0.027678571,0.446238122,+/0,Intersect,3.34979827,-1,rank3
[Candida] arabinofermentans,Thielaviopsis punctulata,-0.087564679,0.062293147,0.126130606,0.003795267,3.338009823,0.000843808,0.027876984,0.446238122,0/+,Eukaryota,3.338009823,1,rank3
Fusobacterium periodonticum,Phytophthora capsici,0.12849397,0.006112538,-0.082826171,0.057891033,-3.301131342,0.000962958,0.028174603,0.446238122,+/0,Intersect,3.301131342,-1,rank3
Naumovozyma dairenensis,Edhazardia aedis,0.224245278,1.39E-06,0.0164593,0.706726211,-3.292363773,0.00099349,0.028224206,0.446238122,+/0,Eukaryota,3.292363773,-1,rank3
Anaerostipes hadrus,Romboutsia ilealis,0.33589381,1.95E-13,0.137069662,0.001643663,-3.290156081,0.001001318,0.028224206,0.446238122,+/+,Bacteria,3.290156081,-1,rank3
Rhizophagus irregularis,Pichia kudriavzevii,0.240169958,2.23E-07,0.033603622,0.442286719,-3.287343463,0.001011374,0.028224206,0.446238122,+/0,Eukaryota,3.287343463,-1,rank3
Fusobacterium nucleatum,Rhizophagus clarus,-0.055214998,0.240341467,0.153516346,0.000415459,3.2666975,0.001088099,0.028323413,0.446238122,0/+,Intersect,3.2666975,1,rank3
[Eubacterium] eligens,Pneumocystis murina,0.233719332,4.75E-07,0.028447932,0.5154326,-3.261309449,0.001108989,0.028422619,0.446238122,+/0,Intersect,3.261309449,-1,rank3
Dialister pneumosintes,Pichia kudriavzevii,0.170040477,0.000273008,-0.037170612,0.395353216,-3.249356893,0.001156663,0.028521825,0.446238122,+/0,Intersect,3.249356893,-1,rank3
Thielaviopsis punctulata,Edhazardia aedis,-0.15538895,0.000893787,0.051842594,0.235689741,3.243929332,0.00117893,0.028521825,0.446238122,-/0,Eukaryota,3.243929332,1,rank3
Pseudobutyrivibrio xylanivorans,Streptococcus salivarius,0.273371073,3.18E-09,0.07271453,0.096046164,-3.230136861,0.00123731,0.028670635,0.446238122,+/0,Bacteria,3.230136861,-1,rank3
[Eubacterium] eligens,Clostridium beijerinckii,0.369581573,4.44E-16,0.179038768,3.69E-05,-3.219069231,0.001286074,0.028769841,0.446238122,+/+,Bacteria,3.219069231,-1,rank3
Phytopythium vexans,Choanephora cucurbitarum,0.08953087,0.056620429,-0.11658869,0.007492113,-3.218191997,0.001290014,0.028819444,0.446238122,0/-,Eukaryota,3.218191997,-1,rank3
Erysiphe pulchra,Choanephora cucurbitarum,-0.070975088,0.131037933,0.134230165,0.002054573,3.206483011,0.001343682,0.02906746,0.446238122,0/+,Eukaryota,3.206483011,1,rank3
Aspergillus ochraceoroseus,Thielaviopsis punctulata,0.22433798,1.38E-06,0.022541562,0.606324915,-3.199236885,0.001377919,0.02921627,0.446238122,+/0,Eukaryota,3.199236885,-1,rank3
Fusobacterium periodonticum,Streptococcus salivarius,-0.018452778,0.694963712,0.184634682,2.07E-05,3.192356198,0.001411172,0.029365079,0.446238122,0/+,Bacteria,3.192356198,1,rank3
Anaerostipes hadrus,Clostridium beijerinckii,0.380102099,0,0.192824094,8.61E-06,-3.187358544,0.001435787,0.029365079,0.446238122,+/+,Bacteria,3.187358544,-1,rank3
Streptococcus milleri,Pichia kudriavzevii,0.247670197,8.98E-08,0.048347652,0.268817362,-3.181658246,0.001464345,0.029414683,0.446238122,+/0,Intersect,3.181658246,-1,rank3
[Eubacterium] eligens,Schizosaccharomyces pombe,0.172564551,0.000220323,-0.029174931,0.504752797,-3.165295912,0.001549253,0.029712302,0.446238122,+/0,Intersect,3.165295912,-1,rank3
Parvimonas micra,Lactococcus garvieae,0.202233314,1.41E-05,0.001983955,0.963828489,-3.158826814,0.001584056,0.030059524,0.446238122,+/0,Bacteria,3.158826814,-1,rank3
Pseudocercospora musae,Rhizophagus clarus,0.281572951,1.02E-09,0.086544312,0.047482298,-3.151861959,0.001622329,0.03030754,0.446238122,+/+,Eukaryota,3.151861959,-1,rank3
Pseudobutyrivibrio xylanivorans,Prevotella intermedia,-0.035728162,0.447605171,0.163957341,0.000161073,3.12955239,0.001750729,0.030803571,0.446238122,0/+,Bacteria,3.12955239,1,rank3
Streptococcus thermophilus,Albugo candida,0.197173348,2.32E-05,-0.001275183,0.976746172,-3.127545611,0.001762725,0.030853175,0.446238122,+/0,Intersect,3.127545611,-1,rank3
Parvimonas micra,Edhazardia aedis,-0.032960534,0.483581736,0.165877212,0.000134457,3.117149693,0.001826088,0.03125,0.446238122,0/+,Intersect,3.117149693,1,rank3
[Candida] arabinofermentans,Baudoinia panamericana,0.503376438,0,0.341100958,8.88E-16,-3.087340791,0.002019559,0.031696429,0.446238122,+/+,Eukaryota,3.087340791,-1,rank3
Baudoinia panamericana,Thielaviopsis punctulata,-0.077880793,0.097444509,0.119370877,0.006173731,3.079582986,0.002072906,0.031944444,0.446238122,0/+,Eukaryota,3.079582986,1,rank3
Streptococcus thermophilus,Escherichia coli,0.018795866,0.68958382,0.212650541,8.78E-07,3.066612089,0.002164996,0.032291667,0.446238122,0/+,Bacteria,3.066612089,1,rank3
Romboutsia ilealis,Clostridium beijerinckii,0.557451084,0,0.408080719,0,-3.045977184,0.002319254,0.032787698,0.446238122,+/+,Bacteria,3.045977184,-1,rank3
Phytophthora capsici,Choanephora cucurbitarum,0.152277862,0.001135193,-0.041845184,0.33860387,-3.038511721,0.002377499,0.033184524,0.446238122,+/0,Eukaryota,3.038511721,-1,rank3
Butyrivibrio proteoclasticus,Streptococcus thermophilus,0.219568338,2.32E-06,0.029028984,0.506887421,-3.020222467,0.002525891,0.03343254,0.446238122,+/0,Bacteria,3.020222467,-1,rank3
Erysiphe pulchra,Pseudocercospora musae,-0.090925319,0.052862576,0.099276466,0.022911326,2.967589437,0.003001449,0.034920635,0.446238122,0/+,Eukaryota,2.967589437,1,rank3
Adlercreutzia equolifaciens,Baudoinia panamericana,0.067119649,0.153348058,0.251715176,4.97E-09,2.955779493,0.0031188,0.03531746,0.446238122,0/+,Intersect,2.955779493,1,rank3
Sphaerulina musiva,Lipomyces starkeyi,-0.127384101,0.006571644,0.061675956,0.158200691,2.952851719,0.003148532,0.035416667,0.446238122,-/0,Eukaryota,2.952851719,1,rank3
Parvimonas micra,Phytophthora capsici,0.012211631,0.795258007,0.199077315,4.29E-06,2.948576237,0.003192414,0.03546627,0.446238122,0/+,Intersect,2.948576237,1,rank3
Pseudobutyrivibrio xylanivorans,Rhizophagus irregularis,0.250760172,6.13E-08,0.066698816,0.126930396,-2.946499136,0.003213933,0.035515873,0.446238122,+/0,Intersect,2.946499136,-1,rank3
Sphaerulina musiva,Coniochaeta ligniaria,-0.067819286,0.149098798,0.120523224,0.005691629,2.94042719,0.0032776,0.035664683,0.446238122,0/+,Eukaryota,2.94042719,1,rank3
Fusobacterium nucleatum,Thielaviopsis punctulata,0.155050376,0.000917545,-0.032636367,0.455540872,-2.939238714,0.003290196,0.035664683,0.446238122,+/0,Intersect,2.939238714,-1,rank3
Erysiphe pulchra,Lipomyces starkeyi,-0.105816845,0.024146717,0.082439813,0.0590736,2.93741468,0.003309612,0.035664683,0.446238122,-/0,Eukaryota,2.93741468,1,rank3
Anaerostipes hadrus,Butyrivibrio proteoclasticus,0.424989,0,0.259170167,1.67E-09,-2.932820902,0.003358976,0.035763889,0.446238122,+/+,Bacteria,2.932820902,-1,rank3
Parvimonas micra,Thielaviopsis punctulata,0.267990826,6.60E-09,0.085959922,0.049005997,-2.932491965,0.003362536,0.035813492,0.446238122,+/+,Intersect,2.932491965,-1,rank3
Aspergillus rambellii,Edhazardia aedis,-0.124958062,0.007684394,0.062764515,0.150972733,2.931502681,0.003373265,0.035863095,0.446238122,-/0,Eukaryota,2.931502681,1,rank3
Sphaerulina musiva,Phytopythium vexans,-0.08504987,0.070223437,0.102508146,0.01880622,2.926269567,0.003430535,0.036061508,0.446238122,0/+,Eukaryota,2.926269567,1,rank3
Aspergillus kawachii,Paracoccidioides brasiliensis,0.14066187,0.00266625,-0.044950789,0.30394198,-2.902261103,0.003704796,0.037152778,0.446238122,+/0,Eukaryota,2.902261103,-1,rank3
Streptococcus equinus,Streptococcus milleri,0.398083664,0,0.542320291,0,2.894255293,0.00380059,0.037400794,0.446238122,+/+,Bacteria,2.894255293,1,rank3
Colletotrichum fioriniae,Thielaviopsis punctulata,-0.078010499,0.096886371,0.107432444,0.013783727,2.893490204,0.003809862,0.037400794,0.446238122,0/+,Eukaryota,2.893490204,1,rank3
Erysiphe pulchra,Pichia kudriavzevii,-0.036910391,0.432712095,0.147339958,0.000708069,2.883060016,0.003938324,0.037549603,0.446238122,0/+,Eukaryota,2.883060016,1,rank3
[Eubacterium] eligens,Streptococcus equinus,0.18023013,0.000112789,-0.003029571,0.94478991,-2.881546207,0.003957292,0.037599206,0.446238122,+/0,Bacteria,2.881546207,-1,rank3
Lactobacillus ruminis,Albugo candida,0.191466688,4.02E-05,0.008901222,0.838767291,-2.876998846,0.004014771,0.037698413,0.446238122,+/0,Intersect,2.876998846,-1,rank3
Romboutsia ilealis,Aspergillus ochraceoroseus,0.215448594,3.61E-06,0.034243302,0.433643505,-2.871768268,0.004081822,0.037698413,0.446238122,+/0,Intersect,2.871768268,-1,rank3
Fusobacterium periodonticum,Cordyceps sp. RAO-2017,0.086565486,0.065350849,-0.09677346,0.026603988,-2.859922473,0.004237446,0.038194444,0.446238122,0/-,Intersect,2.859922473,-1,rank3
Fusobacterium nucleatum,Clostridium beijerinckii,0.010311053,0.826571677,0.191743769,9.69E-06,2.859541269,0.004242542,0.038194444,0.446238122,0/+,Bacteria,2.859541269,1,rank3
Sphaerulina musiva,Edhazardia aedis,-0.155654328,0.000875564,0.026609308,0.542955152,2.855032565,0.004303242,0.038293651,0.446238122,-/0,Eukaryota,2.855032565,1,rank3
