Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Butyrivibrio proteoclasticus,Clostridium beijerinckii,0.598981169,0,0.429073453,0,-3.621121646,0.000293329,0.023363095,0.446238122,+/+,pos,3
Dialister pneumosintes,Prevotella intermedia,0.338466773,1.25E-13,0.125797842,0.003889379,-3.513728207,0.000441865,0.024950397,0.446238122,+/+,pos,2
Pseudobutyrivibrio xylanivorans,Clostridium beijerinckii,0.57081622,0,0.401078569,0,-3.481171856,0.000499225,0.025396825,0.446238122,+/+,pos,3
Anaerostipes hadrus,Romboutsia ilealis,0.33589381,1.95E-13,0.137069662,0.001643663,-3.290156081,0.001001318,0.028224206,0.446238122,+/+,pos,2
Pseudobutyrivibrio xylanivorans,Streptococcus salivarius,0.273371073,3.18E-09,0.07271453,0.096046164,-3.230136861,0.00123731,0.028670635,0.446238122,+/0,pos,1
[Eubacterium] eligens,Clostridium beijerinckii,0.369581573,4.44E-16,0.179038768,3.69E-05,-3.219069231,0.001286074,0.028769841,0.446238122,+/+,pos,2
Anaerostipes hadrus,Clostridium beijerinckii,0.380102099,0,0.192824094,8.61E-06,-3.187358544,0.001435787,0.029365079,0.446238122,+/+,pos,2
Parvimonas micra,Lactococcus garvieae,0.202233314,1.41E-05,0.001983955,0.963828489,-3.158826814,0.001584056,0.030059524,0.446238122,+/0,pos,1
Romboutsia ilealis,Clostridium beijerinckii,0.557451084,0,0.408080719,0,-3.045977184,0.002319254,0.032787698,0.446238122,+/+,pos,3
Butyrivibrio proteoclasticus,Streptococcus thermophilus,0.219568338,2.32E-06,0.029028984,0.506887421,-3.020222467,0.002525891,0.03343254,0.446238122,+/0,pos,1
Anaerostipes hadrus,Butyrivibrio proteoclasticus,0.424989,0,0.259170167,1.67E-09,-2.932820902,0.003358976,0.035763889,0.446238122,+/+,pos,2
Streptococcus equinus,Streptococcus milleri,0.398083664,0,0.542320291,0,2.894255293,0.00380059,0.037400794,0.446238122,+/+,pos,2
[Eubacterium] eligens,Streptococcus equinus,0.18023013,0.000112789,-0.003029571,0.94478991,-2.881546207,0.003957292,0.037599206,0.446238122,+/0,pos,1
Butyrivibrio proteoclasticus,Streptococcus salivarius,0.209194696,6.96E-06,0.039005139,0.37243087,-2.695727214,0.007023516,0.043501984,0.446238122,+/0,pos,1
Streptococcus salivarius,Streptococcus equinus,0.600118226,0,0.698809954,0,2.669826381,0.007589048,0.044444444,0.446238122,+/+,pos,3
Fusobacterium periodonticum,Bifidobacterium adolescentis,0.142366088,0.002361288,-0.026513628,0.544407138,-2.642148814,0.008238185,0.045486111,0.446238122,+/0,pos,1
Romboutsia ilealis,Lactobacillus ruminis,0.159173145,0.000664256,-0.00606597,0.889719767,-2.591512134,0.009555517,0.047569444,0.446238122,+/0,pos,1
Anaerostipes hadrus,Streptococcus thermophilus,0.231094171,6.43E-07,0.073591311,0.092093921,-2.5139895,0.011937399,0.050744048,0.446238122,+/0,pos,1
Dialister pneumosintes,Streptococcus anginosus,0.149852356,0.00136362,-0.004729219,0.913914511,-2.422187378,0.015427393,0.055654762,0.446238122,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Streptococcus milleri,0.16953197,0.000284956,0.016214516,0.710890749,-2.410523634,0.015929639,0.056299603,0.446238122,+/0,pos,1
Adlercreutzia equolifaciens,Ruminococcus bicirculans,0.242495101,1.69E-07,0.092393399,0.034303869,-2.407365015,0.016068101,0.056696429,0.446238122,+/+,pos,1
Fusobacterium nucleatum,Streptococcus anginosus,0.164724105,0.000424685,0.014090776,0.747371878,-2.366630835,0.017950828,0.058829365,0.451817658,+/0,pos,1
Butyrivibrio proteoclasticus,Streptococcus equinus,0.202907208,1.32E-05,0.056759644,0.194124543,-2.316777661,0.020515847,0.062003968,0.452192757,+/0,pos,1
Parvimonas micra,Fusobacterium periodonticum,0.158628202,0.000693544,0.011446258,0.793591167,-2.310406232,0.020865674,0.062103175,0.452192757,+/0,pos,1
Anaerostipes hadrus,[Eubacterium] eligens,0.295428842,1.35E-10,0.156665821,0.000314102,-2.279369168,0.02264513,0.064335317,0.452192757,+/+,pos,1
[Eubacterium] eligens,Streptococcus thermophilus,0.130836655,0.005236737,-0.014076965,0.747611086,-2.265864183,0.0234597,0.065327381,0.452192757,+/0,pos,1
Clostridium beijerinckii,Lactobacillus ruminis,0.12354039,0.008409912,-0.018075136,0.679460089,-2.212712134,0.026917498,0.067906746,0.453241243,+/0,pos,1
Butyrivibrio proteoclasticus,Lactobacillus ruminis,0.127256226,0.006626478,-0.011341824,0.795432523,-2.166676021,0.030259566,0.071081349,0.463217131,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Streptococcus equinus,0.226865953,1.04E-06,0.092685893,0.033736193,-2.145489757,0.03191371,0.072916667,0.468704091,+/+,pos,1
Bifidobacterium catenulatum,Bifidobacterium angulatum,0.277825075,1.72E-09,0.148479056,0.000642734,-2.111403449,0.034737649,0.075892857,0.471497307,+/+,pos,1
Fusobacterium nucleatum,Porphyromonas asaccharolytica,0.144734274,0.001990235,0.274099934,1.68E-10,2.108211918,0.035012663,0.076388889,0.471497307,+/+,pos,1
Bifidobacterium catenulatum,Bifidobacterium pseudocatenulatum,0.389198483,0,0.272974199,2.01E-10,-2.034275537,0.041923822,0.081646825,0.471497307,+/+,pos,2
Pseudobutyrivibrio xylanivorans,Streptococcus anginosus,0.132607458,0.004651554,0.004003751,0.927080076,-2.012636751,0.044152858,0.083085317,0.471497307,+/0,pos,1
Gemella morbillorum,Streptococcus thermophilus,0.139090342,0.002978824,0.014069807,0.747735077,-1.958783172,0.050138185,0.088194444,0.485921792,+/0,pos,1
Clostridium beijerinckii,Streptococcus anginosus,0.116518284,0.012980269,0.000979636,0.982134634,-1.805461229,0.071002537,0.103869048,0.508506452,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Lactobacillus ruminis,0.104204476,0.026402479,-0.010602926,0.808492474,-1.791728713,0.073176433,0.105555556,0.508506452,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Butyrivibrio proteoclasticus,0.928909519,0,0.911550922,0,-1.769474056,0.076814797,0.108878968,0.51925666,+/+,pos,3
Gemella morbillorum,Romboutsia ilealis,0.230573365,6.82E-07,0.121693138,0.005237078,-1.74985859,0.080142718,0.111359127,0.525434992,+/+,pos,1
Butyrivibrio proteoclasticus,Adlercreutzia equolifaciens,0.290694171,2.72E-10,0.187234521,1.57E-05,-1.708777906,0.087492097,0.116220238,0.533239575,+/+,pos,1
Pseudobutyrivibrio xylanivorans,[Eubacterium] eligens,0.406823406,0,0.311661106,2.74E-13,-1.701931502,0.08876821,0.11671627,0.533679711,+/+,pos,2
Dialister pneumosintes,Porphyromonas asaccharolytica,0.204701738,1.10E-05,0.304724396,9.62E-13,1.665685954,0.095775981,0.122123016,0.538954977,+/+,pos,1
Romboutsia ilealis,Streptococcus thermophilus,0.265935757,8.68E-09,0.16539422,0.000140734,-1.641936729,0.100603117,0.126190476,0.550437094,+/+,pos,1
Roseburia intestinalis,Streptococcus equinus,0.150975936,0.001253007,0.046628903,0.286226628,-1.640671967,0.100865527,0.126289683,0.550437094,+/0,pos,1
Parvimonas micra,Streptococcus anginosus,0.123257867,0.00856159,0.019417553,0.657119649,-1.624986101,0.10416552,0.128571429,0.552047944,+/0,pos,1
Lactobacillus ruminis,Ruminococcus bicirculans,0.094104456,0.04506674,-0.009697839,0.824562236,-1.618982631,0.105451,0.129365079,0.552047944,+/0,pos,1
Roseburia intestinalis,[Eubacterium] eligens,0.189071899,5.03E-05,0.087515764,0.045037355,-1.612020114,0.106957563,0.130605159,0.552047944,+/+,pos,1
Porphyromonas asaccharolytica,Fusobacterium periodonticum,0.097750643,0.037338224,-0.003522173,0.935830845,-1.580159159,0.114070422,0.135367063,0.55980495,+/0,pos,1
Romboutsia ilealis,Streptococcus anginosus,0.107544568,0.02191632,0.00879833,0.840605968,-1.542478312,0.122957404,0.14077381,0.571506857,+/0,pos,1
Anaerostipes hadrus,Streptococcus salivarius,0.145448042,0.001889348,0.048818889,0.26417356,-1.518611876,0.12886022,0.144940476,0.573847694,+/0,pos,1
Butyrivibrio proteoclasticus,Streptococcus milleri,0.102766899,0.028564453,0.007902185,0.856655608,-1.481271466,0.138534249,0.150446429,0.577510397,+/0,pos,1
Dialister pneumosintes,Fusobacterium periodonticum,0.310662801,1.29E-11,0.226131079,1.63E-07,-1.418148921,0.156147291,0.160416667,0.580953549,+/+,pos,2
Pseudobutyrivibrio xylanivorans,Ruminococcus bicirculans,0.116701574,0.012837524,0.205242642,2.12E-06,1.414934327,0.157087752,0.161111111,0.580953549,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Adlercreutzia equolifaciens,0.276193309,2.16E-09,0.193884699,7.66E-06,-1.356166463,0.17504621,0.173759921,0.596776702,+/+,pos,1
Anaerostipes hadrus,Adlercreutzia equolifaciens,0.11126886,0.017707938,0.195157412,6.66E-06,1.337125809,0.181181574,0.177579365,0.597820819,+/+,pos,1
Streptococcus milleri,Streptococcus thermophilus,0.274843916,2.60E-09,0.193964638,7.60E-06,-1.332160543,0.182807439,0.178373016,0.597820819,+/+,pos,1
Fusobacterium periodonticum,Streptococcus anginosus,0.100215864,0.032775939,0.015244836,0.727471666,-1.326947387,0.184526087,0.179761905,0.597820819,+/0,pos,1
Bifidobacterium bifidum,Bifidobacterium longum,0.173199365,0.000208659,0.092987515,0.03315921,-1.270931029,0.203753186,0.191517857,0.603572704,+/+,pos,1
Streptococcus equinus,Streptococcus thermophilus,0.235430111,3.89E-07,0.310786044,3.21E-13,1.267486768,0.204981292,0.192361111,0.603572704,+/+,pos,1
Butyrivibrio proteoclasticus,Romboutsia ilealis,0.332508284,3.51E-13,0.261111084,1.25E-09,-1.218652683,0.222976044,0.204315476,0.620682408,+/+,pos,2
Butyrivibrio proteoclasticus,Lactococcus garvieae,0.102216342,0.029431789,0.024530488,0.574927912,-1.213891183,0.22478928,0.205357143,0.621398943,+/0,pos,1
Clostridium beijerinckii,Streptococcus thermophilus,0.235389582,3.91E-07,0.162179704,0.000190056,-1.186265034,0.235517651,0.21264881,0.629211328,+/+,pos,1
[Eubacterium] eligens,Ruminococcus bicirculans,0.181452112,0.00010111,0.110072322,0.011611543,-1.134942849,0.256399265,0.226537698,0.638464744,+/+,pos,1
Fusobacterium nucleatum,Dialister pneumosintes,0.396368401,0,0.455491292,0,1.12422055,0.260919473,0.229712302,0.642782243,+/+,pos,2
Clostridium beijerinckii,Streptococcus equinus,0.136297885,0.003617521,0.06756211,0.122075693,-1.080851137,0.279763337,0.242361111,0.648059429,+/0,pos,1
Anaerostipes hadrus,Streptococcus equinus,0.124032543,0.008151403,0.056255111,0.198124459,-1.063331964,0.287631434,0.247470238,0.650429488,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Romboutsia ilealis,0.341510836,7.28E-14,0.280466078,6.04E-11,-1.051728253,0.292924245,0.251339286,0.654922479,+/+,pos,2
Parvimonas micra,Prevotella intermedia,0.113774442,0.015290658,0.046942606,0.28299374,-1.046721285,0.295228144,0.252678571,0.65538022,+/0,pos,1
Bifidobacterium catenulatum,Bifidobacterium adolescentis,0.170744284,0.000257242,0.10960586,0.011971786,-0.970395784,0.331849249,0.280009921,0.677089308,+/+,pos,1
Streptococcus salivarius,Streptococcus thermophilus,0.357377155,4.00E-15,0.30247373,1.44E-12,-0.958734787,0.337692369,0.283978175,0.677089308,+/+,pos,2
Clostridium beijerinckii,Streptococcus milleri,0.099691709,0.033703982,0.039274892,0.369130958,-0.944630879,0.344847357,0.289186508,0.677089308,+/0,pos,1
Bifidobacterium bifidum,Bifidobacterium adolescentis,0.094607147,0.043927249,0.036099038,0.409127275,-0.914257689,0.360581458,0.300793651,0.677089308,+/0,pos,1
Dialister pneumosintes,Romboutsia ilealis,0.109020985,0.020154153,0.052472835,0.230036469,-0.885617106,0.375823891,0.31155754,0.683178761,+/0,pos,1
Bifidobacterium adolescentis,Bifidobacterium longum,0.310429444,1.34E-11,0.358339018,0,0.839316219,0.401291884,0.330753968,0.689705985,+/+,pos,2
Anaerostipes hadrus,Roseburia intestinalis,0.165926172,0.000384751,0.11456914,0.008601269,-0.815078967,0.41502711,0.341170635,0.692346179,+/+,pos,1
Parvimonas micra,Dialister pneumosintes,0.350987052,1.31E-14,0.308561466,4.82E-13,-0.740635862,0.458914257,0.378571429,0.70947229,+/+,pos,2
Romboutsia ilealis,Ruminococcus bicirculans,0.106099702,0.023768659,0.152820696,0.000441618,0.739274042,0.459740609,0.379265873,0.70947229,+/+,pos,1
Clostridium beijerinckii,Streptococcus salivarius,0.149164656,0.001435679,0.106069473,0.015039498,-0.681553417,0.495521379,0.408482143,0.713122214,+/+,pos,1
Roseburia intestinalis,Clostridium beijerinckii,0.195486734,2.74E-05,0.154982398,0.000364986,-0.650103708,0.515625235,0.426785714,0.723512548,+/+,pos,1
Butyrivibrio proteoclasticus,[Eubacterium] eligens,0.411802263,0,0.382244089,0,-0.545891241,0.5851407,0.48968254,0.736379359,+/+,pos,2
Bifidobacterium catenulatum,Bifidobacterium longum,0.206004733,9.65E-06,0.238513783,3.17E-08,0.532012455,0.594717369,0.499603175,0.740667759,+/+,pos,1
Butyrivibrio proteoclasticus,Roseburia intestinalis,0.341143868,7.77E-14,0.312030104,2.56E-13,-0.506989509,0.61216218,0.516418651,0.75478282,+/+,pos,2
Streptococcus anginosus,Streptococcus salivarius,0.523626346,0,0.546640016,0,0.501704931,0.615875095,0.519494048,0.75478282,+/+,pos,3
Bifidobacterium angulatum,Bifidobacterium adolescentis,0.099256851,0.034490828,0.069205109,0.113237424,-0.470828628,0.637763119,0.542361111,0.762010569,+/0,pos,1
[Eubacterium] eligens,Prevotella intermedia,0.110990979,0.017995568,0.081683431,0.061446649,-0.460180903,0.645386377,0.550496032,0.764097934,+/0,pos,1
Anaerostipes hadrus,Bifidobacterium pseudocatenulatum,0.112993718,0.016010788,0.08420347,0.053833912,-0.452258491,0.651082775,0.556200397,0.768506048,+/0,pos,1
Porphyromonas asaccharolytica,Prevotella intermedia,0.101628231,0.030383135,0.125405992,0.004002908,0.37470771,0.707877857,0.616914683,0.791950582,+/+,pos,1
Fusobacterium nucleatum,Romboutsia ilealis,0.101574544,0.030471277,0.12210273,0.005085839,0.323370396,0.746414747,0.661011905,0.801686719,+/+,pos,1
Butyrivibrio proteoclasticus,Ruminococcus bicirculans,0.140818031,0.002636881,0.157904256,0.000280984,0.271846217,0.785740267,0.708928571,0.817231088,+/+,pos,1
Clostridium beijerinckii,Ruminococcus bicirculans,0.159284389,0.00065842,0.143859992,0.000947734,-0.245572016,0.806013554,0.734970238,0.823672691,+/+,pos,1
Roseburia intestinalis,Romboutsia ilealis,0.159435246,0.000650582,0.144752278,0.000880007,-0.233805134,0.815136264,0.745634921,0.827974857,+/+,pos,1
Fusobacterium nucleatum,Gemella morbillorum,0.258161199,2.40E-08,0.272061532,2.32E-10,0.232568997,0.816096104,0.747321429,0.828169524,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Roseburia intestinalis,0.35482832,6.44E-15,0.367184122,0,0.22099958,0.82509276,0.75828373,0.832262203,+/+,pos,2
Streptococcus anginosus,Streptococcus thermophilus,0.306504104,2.49E-11,0.29460035,5.68E-12,-0.203552223,0.838703432,0.775694444,0.836175054,+/+,pos,2
Roseburia intestinalis,Streptococcus salivarius,0.131357146,0.005058209,0.12097568,0.005511787,-0.164096268,0.86965536,0.816071429,0.842069277,+/+,pos,1
Bifidobacterium pseudocatenulatum,Bifidobacterium longum,0.13156076,0.004989875,0.122654397,0.004888362,-0.140813564,0.888017227,0.839434524,0.847860455,+/+,pos,1
Gemella morbillorum,Streptococcus milleri,0.13105611,0.005160784,0.138178098,0.001504841,0.112826921,0.910167775,0.869742063,0.861985536,+/+,pos,1
Anaerostipes hadrus,Bifidobacterium longum,0.15334756,0.001046127,0.149153729,0.00060672,-0.066762009,0.946771168,0.92093254,0.870351467,+/+,pos,1
Bifidobacterium angulatum,Bifidobacterium pseudocatenulatum,0.134970289,0.003962708,0.133820763,0.002121019,-0.018209665,0.985471592,0.976736111,0.87802185,+/+,pos,1
