"Organism","Search Weight","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","NCBI taxon ID","Species","Strain","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"Phytopythium vexans DAOM BR484","10","no","FungiDB","0","3685","0","GenBank","GCA_000387545.2","   33.84","MSU","2014-08-11","yes","1223560","Phytopythium vexans","DAOM BR484","N/A","739","N/A","11991","6546","N/A","34","11957","152","11957","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium proliferatum ET1","10","no","FungiDB","0","0","32","GenBank","GCA_900067095.1","   45.21","GenBank","Dec 6, 2016","yes","1227346","Fusarium proliferatum","ET1","N/A","1663","N/A","16509","10411","N/A","366","16143","117132","16143","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium oxysporum f. sp. cubense race 1","10","no","FungiDB","0","1341","0","GenBank","GCA_000350345.1","   47.66","GenBank","Mar 21, 2015","no","1229664","Fusarium oxysporum","f. sp. cubense race 1","N/A","1604","1820","15626","10503","N/A","188","15438","114661","15438","N/A","0","15626","N/A","N/A","N/A","N/A"
"Malassezia sympodialis ATCC 42132","10","no","FungiDB","8","0","0","INSDC","GCF_900149145.1","    7.79","RefSeq","2017-01-10","yes","1230383","Malassezia sympodialis","ATCC 42132","N/A","629","N/A","4618","3601","N/A","143","4475","4844","4475","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Ophiostoma piceae UAMH 11346","10","no","FungiDB","0","45","0","INSDC","GCA_000410735.1","   32.84","GenBank","Mar 22, 2015","yes","1262450","Ophiostoma piceae","UAMH 11346","N/A","908","3","8884","6464","N/A","0","8884","3207","8884","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Blumeria graminis f. sp. tritici 96224","10","no","FungiDB","12","0","0","INSDC","GCF_900519115.1","  140.80","RefSeq","2019-08-27","yes","1268274","Blumeria graminis","f. sp. tritici 96224","N/A","7","2138","8470","3658","N/A","123","8347","1076","8347","N/A","122","N/A","N/A","N/A","N/A","N/A"
"Zymoseptoria tritici ST99CH_3D1","10","no","FungiDB","21","0","0","INSDC","GCA_900184105.1","   40.66","GenBank","Jun 17, 2020","no","1276537","Zymoseptoria tritici","ST99CH_3D1","N/A","1","6328","11991","5888","N/A","0","11991","1157","11991","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fusarium fujikuroi IMI 58289","10","no","FungiDB","12","0","0","GenBank","GCA_900079805.1","   43.83","GenBank","Jan 12, 2016","yes","1279085","Fusarium fujikuroi","IMI 58289","N/A","1627","96","15099","9754","N/A","286","14813","123661","14813","N/A","0","N/A","N/A","N/A","N/A","6"
"Kwoniella bestiolae CBS 10118","10","no","FungiDB","0","12","0","GenBank","GCA_000512585.2","   24.36","GenBank","Jul 20, 2016","yes","1296100","Kwoniella bestiolae","CBS 10118","N/A","943","N/A","9270","5698","N/A","137","9133","241","9133","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus gattii EJB2","10","no","FungiDB","0","282","0","GenBank","GCA_000835745.1","   17.67","GenBank","Feb 17, 2015","no","1296103","Cryptococcus gattii VGI","EJB2","N/A","875","N/A","6908","4693","N/A","145","6763","66","6763","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus gattii VGIV IND107","10","no","FungiDB","0","34","0","GenBank","GCA_000835755.1","   17.65","GenBank","Feb 17, 2015","no","1296105","Cryptococcus gattii VGIV","IND107","N/A","854","N/A","6843","4586","N/A","147","6696","67","6696","N/A","0","N/A","N/A","N/A","N/A","1"
"Cryptococcus gattii NT-10","10","no","FungiDB","0","226","0","GenBank","GCA_000935105.1","   18.03","GenBank","Mar 5, 2015","no","1296108","Cryptococcus gattii VGI","NT10","N/A","564","N/A","6987","3920","N/A","243","6744","319","6744","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus gattii CA1873","10","no","FungiDB","0","33","0","GenBank","GCA_000855695.1","   17.44","GenBank","Feb 17, 2015","no","1296111","Cryptococcus gattii VGIII","CA1873","N/A","553","N/A","6782","3838","N/A","148","6634","67","6634","N/A","0","N/A","N/A","N/A","N/A","1"
"Kwoniella heveanensis CBS 569","10","no","FungiDB","0","242","0","GenBank","GCA_000507425.3","   25.25","GenBank","Jul 20, 2016","yes","1296119","Kwoniella heveanensis","CBS 569","N/A","917","N/A","8002","5312","N/A","131","7871","220","7871","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Kwoniella dejecticola CBS 10117","10","no","FungiDB","0","13","0","GenBank","GCA_000512565.2","   23.86","GenBank","Jun 22, 2016","yes","1296121","Kwoniella dejecticola","CBS 10117","N/A","935","N/A","8724","5586","N/A","122","8602","238","8602","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Kwoniella mangroviensis CBS 8507","10","no","FungiDB","0","62","0","INSDC","GCA_000507465.3","   22.65","GenBank","2016-07-20","yes","1296122","Kwoniella mangrovensis","CBS8507","N/A","N/A","N/A","8555","4548","N/A","133","8422","240","8422","N/A","5","N/A","N/A","N/A","N/A","N/A"
"Aspergillus niger ATCC 13496","10","no","FungiDB","0","133","0","GenBank","GCA_003344705.1","   35.69","GenBank","Jul 31, 2018","no","1353008","Aspergillus niger","ATCC 13496","N/A","1508","5856","12468","8475","N/A","274","12194","50130","12194","N/A","0","N/A","N/A","N/A","N/A","1"
"Aspergillus campestris IBT 28561","10","no","FungiDB","0","0","62","GenBank","GCA_002847485.1","   28.26","GenBank","Dec. 27, 2017","yes","1392248","Aspergillus campestris","IBT 28561","N/A","1289","N/A","9929","6965","N/A","173","9756","66530","9756","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus steynii IBT 23096","10","no","FungiDB","0","0","37","GenBank","GCA_002849105.1","   37.85","GenBank","Dec. 30, 2017","yes","1392250","Aspergillus steynii","IBT 23096","N/A","1523","N/A","13430","9053","N/A","235","13195","73227","13195","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus novofumigatus IBT 16806","10","no","FungiDB","0","0","62","GenBank","GCA_002847465.1","   32.44","GenBank","Dec. 27, 2017","yes","1392255","Aspergillus novofumigatus","IBT 16806","N/A","1414","N/A","11729","7884","N/A","197","11532","67617","11532","N/A","0","N/A","N/A","N/A","N/A","1"
"Aspergillus ochraceoroseus IBT 24754","10","no","FungiDB","0","0","34","GenBank","GCA_002846915.2","   27.72","GenBank","Apr 16, 2018","yes","1392256","Aspergillus ochraceoroseus","IBT 24754","N/A","1166","N/A","9070","6156","N/A","153","8917","68974","8917","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus neoformans var. neoformans XL280","10","no","FungiDB","5","32","0","INSDC","GCA_002216205.1","   19.05","N/A","N/A","no","1396488","Cryptococcus neoformans","var. neoformans XL280","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Sporothrix schenckii 1099-18","10","no","FungiDB","0","0","15","GenBank","GCA_000961545.1","   32.38","GenBank","Mar 24, 2015","yes","1397361","Sporothrix schenckii","1099-18","N/A","1167","N/A","10434","6524","N/A","141","10293","10645","10293","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Sporothrix brasiliensis 5110","10","no","FungiDB","0","0","12","GenBank","GCA_000820605.1","   33.21","GenBank","Jan 16, 2015","yes","1398154","Sporothrix brasiliensis","5110","N/A","1135","N/A","9231","6244","N/A","140","9091","8901","9091","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Fonsecaea pedrosoi CBS 271.37","10","no","FungiDB","0","11","0","GenBank","GCA_000835455.1","   34.69","GenBank","Feb 23, 2015","yes","1442368","Fonsecaea pedrosoi","CBS 271.37","N/A","1396","N/A","12573","8604","N/A","46","12527","278","12527","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Rhinocladiella mackenziei CBS 650.93","10","no","FungiDB","0","17","0","INSDC","GCA_000835555.1","   32.47","GenBank","2015-02-23","yes","1442369","Rhinocladiella mackenziei","CBS 650.93","N/A","981","N/A","11418","7823","N/A","36","11382","23","11382","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus neoformans var. neoformans JEC21","10","no","FungiDB","14","0","0","GenBank","GCA_000091045.1","   19.05","GenBank","Jun 16, 2016","yes","214684","Cryptococcus neoformans","var. neoformans JEC21","N/A","951","5568","7004","5420","N/A","372","6632","64","6632","2747","8","7004","N/A","N/A","N/A","26"
"Coccidioides posadasii C735 delta SOWgp","10","no","FungiDB","0","55","0","GenBank","GCA_000151335.1","   27.01","JCVI","Jun 17, 2009","no","222929","Coccidioides posadasii","C735 delta SOWgp","N/A","1414","6334","7255","5432","N/A","26","7229","7069","7229","N/A","0","7255","N/A","N/A","N/A","N/A"
"Aspergillus nidulans FGSC A4","10","no","FungiDB","8","0","0","GenBank","GCA_000011425.1","   30.52","AspGD","Oct 04, 2015","yes","227321","Aspergillus nidulans","FGSC A4","N/A","1195","3656","10988","10682","N/A","276","10712","50601","10712","535","0","10988","N/A","N/A","N/A","166"
"Fusarium graminearum PH-1","10","no","FungiDB","4","1","0","GenBank","GCA_900044135.1","   38.05","HammondKosackLab","Jan 25, 2017","yes","229533","Fusarium graminearum","PH-1","N/A","914","4054","14145","8771","13573","2","14143","122480","14143","1432","0","14145","N/A","N/A","N/A","1184"
"Cryptococcus neoformans var. grubii H99","10","no","FungiDB","14","0","0","GenBank","GCA_000149245.3","   18.92","GenBank","Apr 01, 2015","no","235443","Cryptococcus neoformans","var. grubii H99","N/A","575","5763","8338","5119","5205","1363","6975","824","6975","68","0","8338","N/A","6917","N/A","163"
"Candida albicans SC5314","10","no","FungiDB","8","0","0","GenBank","GCA_000182965.3","   14.32","CGD","A22-s07-m01-r59","yes","237561","Candida albicans","SC5314","N/A","579","21","6468","6063","5490","256","6212","20770","6212","N/A","0","6468","N/A","6137","N/A","12"
"Ustilago maydis 521","10","no","FungiDB","23","4","0","GenBank","GCA_000328475.2","   19.66","GenBank","Jun 02, 2017","yes","237631","Ustilago maydis","521","N/A","959","5377","6910","5336","N/A","145","6765","11612","6765","N/A","0","6910","N/A","N/A","N/A","18"
"Coprinopsis cinerea okayama7#130","10","no","FungiDB","0","67","0","GenBank","GCA_000182895.1","   36.19","Broad","3","yes","240176","Coprinopsis cinerea","okayama7#130","N/A","1286","4859","13657","7570","9594","301","13356","266","13356","N/A","0","13657","N/A","N/A","N/A","4"
"Pyricularia oryzae 70-15","10","no","FungiDB","7","46","0","GenBank","GCA_000002495.2","   40.98","GenBank","Mar 31, 2016","yes","242507","Pyricularia oryzae","70-15","N/A","1367","570","13184","7526","N/A","359","12825","3530","12825","N/A","131","13184","N/A","12638","N/A","186"
"Rhizopus delemar RA 99-880","10","no","FungiDB","0","81","0","GenBank","GCA_000149305.1","   46.15","GenBank","Mar 23, 2015","yes","246409","Rhizopus delemar","RA 99-880","N/A","1561","N/A","17703","9237","N/A","244","17459","3369","17459","N/A","0","17703","N/A","N/A","N/A","4"
"Coccidioides immitis RS","10","no","FungiDB","0","6","0","GenBank","GCA_000149335.2","   29.02","Broad","3","yes","246410","Coccidioides immitis","RS","N/A","1107","6660","9905","5759","9702","148","9757","9240","9757","N/A","0","9905","N/A","8840","N/A","7587"
"Phanerochaete chrysosporium RP-78","10","no","FungiDB","0","232","0","GenBank","GCA_000167175.1","   35.15","JGI","2.2","yes","273507","Phanerochaete chrysosporium","RP-78","N/A","849","4662","13602","5990","N/A","0","13602","439","13602","N/A","0","N/A","N/A","N/A","N/A","1"
"Cryptococcus neoformans var. neoformans B-3501A","10","no","FungiDB","14","0","0","GenBank","GCA_000149385.1","   19.70","GenBank","Mar 21, 2015","no","283643","Cryptococcus neoformans","var. neoformans B-3501A","N/A","954","5270","6608","4842","N/A","108","6500","64","6500","N/A","0","N/A","N/A","N/A","N/A","11"
"Kluyveromyces lactis NRRL Y-1140","10","no","FungiDB","6","0","0","INSDC","GCA_000002515.1","   10.69","GenBank","2015-02-27","yes","284590","Kluyveromyces lactis","NRRL Y-1140","N/A","539","N/A","5389","3558","N/A","313","5076","41","5076","N/A","33","N/A","N/A","N/A","N/A","N/A"
"Yarrowia lipolytica CLIB122","10","no","FungiDB","6","0","0","GenBank","GCA_000002525.1","   20.50","GenBank","Feb 27, 2015","yes","284591","Yarrowia lipolytica","CLIB122","N/A","870","3900","7223","5220","N/A","775","6448","3050","6448","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Candida glabrata CBS 138","10","no","FungiDB","13","0","0","GenBank","GCA_000002545.2","   12.34","CGD","s02-m07-r27","yes","284593","[Candida] glabrata","CBS138","N/A","953","11","5615","5298","N/A","322","5293","92033","5293","N/A","18","5615","N/A","N/A","N/A","6"
"Schizosaccharomyces pombe 972h-","10","no","FungiDB","3","2","0","GenBank","GCA_000002945.2","   12.63","PomBase","Apr 12, 2016","yes","284812","Schizosaccharomyces pombe","972h-","N/A","1541","6037","6995","5102","N/A","1857","5138","117936","5138","N/A","0","6995","N/A","N/A","N/A","2"
"Candida tropicalis MYA-3404","10","no","FungiDB","0","23","0","GenBank","GCA_000006335.3","   14.63","GenBank","Mar 12, 2015","yes","294747","Candida tropicalis","MYA-3404","N/A","950","484","6441","5128","6245","187","6254","11045","6254","N/A","0","6441","N/A","N/A","N/A","2"
"Candida albicans WO-1","10","no","FungiDB","0","16","0","GenBank","GCA_000149445.2","   14.42","CGD","Dec 11, 2013","no","294748","Candida albicans","WO-1","N/A","933","17","6160","4934","N/A","0","6160","14377","6160","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cryptococcus gattii VGII R265","10","no","FungiDB","0","27","0","GenBank","GCA_000149475.3","   17.48","GenBank","Aug 05, 2015","yes","294750","Cryptococcus gattii VGII","R265","N/A","824","N/A","6637","4589","N/A","165","6472","82","6472","N/A","5","N/A","N/A","N/A","N/A","6"
"Clavispora lusitaniae ATCC 42720","10","no","FungiDB","0","9","0","GenBank","GCA_000003835.1","   12.11","GenBank","Mar 23, 2015","yes","306902","Clavispora lusitaniae","ATCC 42720","N/A","894","N/A","6153","4716","N/A","217","5936","1008","5936","N/A","0","N/A","N/A","N/A","N/A","4"
"Aspergillus fumigatus Af293","10","no","FungiDB","8","0","0","GenBank","GCA_000002655.1","   29.42","AspGD","Sep 27, 2015","yes","330879","Aspergillus fumigatus","Af293","N/A","907","237","10130","9828","9530","290","9840","67674","9840","1179","0","10130","N/A","9781","N/A","146"
"Aspergillus fischeri NRRL 181","10","no","FungiDB","0","376","0","GenBank","GCA_000149645.3","   31.67","GenBank","Jul 14, 2016","yes","331117","Aspergillus fischeri","NRRL 181","N/A","1483","N/A","10669","7989","N/A","279","10390","45765","10390","N/A","26","N/A","N/A","N/A","N/A","1"
"Botrytis cinerea B05.10","10","no","FungiDB","18","0","0","GenBank","GCA_000143535.4","   42.63","Ensembl","Dec. 7, 2017","yes","332648","Botrytis cinerea","B05.10","N/A","788","6474","12073","7538","N/A","366","11707","44553","11707","N/A","0","N/A","N/A","N/A","N/A","1"
"Aspergillus flavus NRRL3357","10","no","FungiDB","0","331","0","GenBank","GCA_000006275.2","   36.92","GenBank","Jun 02, 2015","yes","332952","Aspergillus flavus","NRRL3357","N/A","1669","4595","13531","9527","N/A","29","13502","60340","13502","N/A","0","N/A","N/A","N/A","N/A","15"
"Fusarium verticillioides 7600","10","no","FungiDB","11","10","0","GenBank","GCA_000149555.1","   41.89","GenBank","Mar 11, 2015","yes","334819","Fusarium verticillioides","7600","N/A","1626","8371","16240","9677","N/A","371","15869","149191","15869","N/A","0","16240","N/A","N/A","N/A","7"
"Zymoseptoria tritici IPO323","10","no","FungiDB","21","0","0","GenBank","GCA_000219625.1","   39.73","StukenbrockLab","Jul 01, 2015","yes","336722","Zymoseptoria tritici","IPO323","N/A","780","6427","11839","6293","N/A","13","11826","1115","11826","N/A","0","N/A","N/A","N/A","N/A","1"
"Uncinocarpus reesii 1704","10","no","FungiDB","0","44","0","GenBank","GCA_000003515.2","   22.33","GenBank","Aug 06, 2014","yes","336963","Uncinocarpus reesii","1704","N/A","1006","N/A","7856","5174","N/A","96","7760","137","7760","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Histoplasma capsulatum NAm1","10","no","FungiDB","0","276","0","GenBank","GCA_000149585.1","   33.03","GenBank","Mar 23, 2015","no","339724","Histoplasma capsulatum","NAm1","N/A","1085","2370","9402","5433","N/A","89","9313","1603","9313","N/A","0","N/A","N/A","N/A","N/A","1"
"Aspergillus terreus NIH2624","10","no","FungiDB","0","26","0","GenBank","GCA_000149615.1","   29.36","GenBank","Mar 23, 2015","yes","341663","Aspergillus terreus","NIH2624","N/A","1541","2213","10551","7441","N/A","150","10401","47153","10401","N/A","0","N/A","N/A","N/A","N/A","5"
"Aspergillus clavatus NRRL 1","10","no","FungiDB","0","143","0","GenBank","GCA_000002715.1","   27.89","GenBank","Jan 02, 2013","yes","344612","Aspergillus clavatus","NRRL 1","N/A","1339","N/A","9428","7117","N/A","287","9141","46508","9141","N/A","0","N/A","N/A","N/A","N/A","2"
"Neurospora crassa OR74A","10","no","FungiDB","7","13","0","GenBank","GCA_000182925.2","   41.10","GenBank","Mar 23, 2015","yes","367110","Neurospora crassa","OR74A","N/A","1284","7762","10591","7092","9325","833","9758","3342","9758","N/A","0","10591","N/A","9679","N/A","891"
"Cryptococcus gattii WM276","10","no","FungiDB","14","0","0","GenBank","GCA_000185945.1","   18.37","GenBank","Oct 01, 2014","yes","367775","Cryptococcus gattii VGI","WM276","N/A","881","N/A","6580","4708","6569","15","6565","66","6565","N/A","0","N/A","N/A","N/A","N/A","6"
"Aspergillus niger ATCC 1015","10","no","FungiDB","0","24","0","GenBank","GCA_000230395.2","   34.85","JGI","4","no","380704","Aspergillus niger","ATCC 1015","N/A","977","5836","11910","7569","N/A","6","11904","70241","11904","N/A","0","N/A","N/A","N/A","N/A","3"
"Ascosphaera apis ARSEF 7405","10","no","FungiDB","0","82","0","INSDC","GCA_001636715.1","   20.31","GenBank","May 2, 2016","yes","392613","Ascosphaera apis","ARSEF 7405","N/A","799","N/A","6442","4727","N/A","0","6442","99","6442","N/A","0","N/A","N/A","N/A","N/A","746"
"Coccidioides immitis H538.4","10","no","FungiDB","0","266","50","GenBank","GCA_000149815.1","   27.46","Broad","1","no","396776","Coccidioides immitis","H538.4","N/A","1019","6760","10724","5577","N/A","186","10538","8681","10538","N/A","3","N/A","N/A","N/A","N/A","2"
"Schizosaccharomyces japonicus yFS275","10","no","FungiDB","0","32","0","GenBank","GCA_000149845.2","   11.81","GenBank","Mar 23, 2015","yes","402676","Schizosaccharomyces japonicus","yFS275","N/A","823","N/A","5232","4143","N/A","346","4886","52677","4886","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Batrachochytrium dendrobatidis JEL423","10","no","FungiDB","0","69","0","GenBank","GCA_000149865.1","   23.90","Broad","1","yes","403673","Batrachochytrium dendrobatidis","JEL423","N/A","542","2693","8794","5078","N/A","0","8794","97","8794","N/A","0","N/A","N/A","8726","N/A","7"
"Phytophthora infestans T30-4","10","no","FungiDB","0","4921","0","GenBank","GCA_000142945.1","  228.54","GenBank","Mar 12, 2015","yes","403677","Phytophthora infestans","T30-4","N/A","1467","10371","19344","10026","N/A","1547","17797","80650","17797","N/A","3","N/A","N/A","N/A","N/A","7"
