"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median","2016_VogtmannE-Median","2019_Thom-Median","2019_WirbelJ-Median","2019_Yachida-Median","2021_JunY_1-Median","2021_JunY_2-Median"
"Rhizopus delemar",4,4,0,-0.66447836633709,0.274072549573712,0.0983971484304656,0.681053424658664,-0.685272701083701,0.0482643703658818,-0.687542109500423,-0.362229022881488
"Trachipleistophora hominis",5,3,0,-0.340633931279482,0.178791678652011,-0.0978232200456212,0.812645021657846,-0.778509337429366,0.250154649540625,-0.418369382473393,-0.00586382646132403
"Vavraia culicis",5,3,0,-0.525690962553802,0.374183867824606,0.687604691973383,0.302670343835309,-1.82912390224661,-0.0478496012362113,-0.233404599363097,-0.738190640862157
"Anncaliia algerae",5,3,0,-0.680860144576556,-0.111197519765513,0.171059032525496,1.73432671011581,-0.251640256023376,0.0713525224588723,-0.00904302298492683,-0.0544624262921932
"Amphiamblys sp. WSBS2006",4,4,0,0.310498397805749,-0.0589013662225348,-0.397551238911391,0.887475918439293,-1.91990156135583,0.203748559430896,-0.102632192935337,0.332542737954672
"Ordospora colligata",7,1,0,-0.166700213831922,-0.0822162855099463,-0.560195287055344,0.682775991706029,-2.34139854944402,-0.23229646487159,-1.69569668491161,-0.178850904224958
"Pseudoloma neurophilia",6,2,0,-0.215158666044475,-0.510259983367056,-0.712465381396334,0.908427555329595,-0.869747285227741,0.270412663385707,-0.974565007808539,-0.623305146011418
"Nematocida parisii",6,1,1,-0.00317309079479893,-0.0609101593735557,-0.000964524042412982,0,-0.0119725179553075,-0.00979913859957385,-0.0291771661937624,0.0134804735035989
"Nematocida displodere",4,4,0,-0.134967513631725,-0.800092778513204,0.35127512377215,0.198423387259119,0.0257112314961613,0.0728097654221068,-0.464027959337652,-1.27569712418585
"Nematocida sp. 1",6,2,0,-0.454540835801548,-0.207028773514662,0.159289594585897,2.28177246747664,-1.12801052514777,-0.459884221367569,-0.106198294900468,-1.22892565112241
"Nematocida sp. ERTm5",6,2,0,-1.67581201785689,-0.347031880366554,-1.87677037702671,2.18240059321287,-0.350064199156219,0.0622823264289571,-0.444299913889203,-0.558625958778311
"Edhazardia aedis",4,4,0,-0.815071895123647,0.0315589993395665,0.063016132861543,0.190630974037595,-0.589331015528092,0.163365691930192,-0.815615475403025,-0.506770533253656
"Spraguea lophii",4,4,0,-0.854644794643162,-0.0847700598144637,0.410199690184789,0.289888543535446,0.805476567145012,-0.0404602505131859,0.0962713661366242,-0.0551544288253384
"Encephalitozoon intestinalis",5,3,0,0.1051034022283,-0.0377298519593573,0.0463616697395083,0.398743890265969,-0.124129414160823,-0.0915505925272669,-0.0272209515833988,-0.189206227971601
"Encephalitozoon cuniculi",6,2,0,-0.0705930698056846,-0.0658756872651028,-0.0970133627541039,-0.0186512317841523,-0.0740756014482919,0.0175270798108364,-0.138483237502245,0.0434362660949349
"Encephalitozoon hellem",8,0,0,-1.43135212863168,-2.06635092234637,-1.41209046716923,-0.027593700375361,-2.86450982627285,-0.0112088271847249,-0.54566285657639,-0.0706945250776241
"Encephalitozoon romaleae",5,3,0,-0.808385765597549,0.173159579885789,-0.440881220008543,1.12532050774315,0.0858652743374467,-0.066011097357065,-0.134570567257004,-0.184321339738206
"Vittaforma corneae",5,3,0,-0.693375027512974,0.661839948923585,-0.683809921498251,-0.49462170138442,0.230892810527618,0.238562984225916,-0.319783735879507,-0.345173046941001
"Nosema apis",7,1,0,-1.17935423002583,-0.0284830193211631,-0.342859156415572,0.714755497790942,-3.10805809013005,-0.173980202293142,-1.36841731207021,-0.592958890635729
"Nosema ceranae",5,3,0,-0.820076470472255,0.392832981785687,-0.606330624906856,1.4668014867968,-1.5398695621484,0.00373995269201648,-1.24197004947698,-0.104962397534917
"Nosema bombycis",6,2,0,-0.853451987818187,-0.0721190345883157,-0.830926580844339,1.49828381947556,-1.19175646648678,0.0438543104950904,-0.714670818104319,-0.126092007334594
"Enterospora canceri",6,2,0,-1.16166150571903,-0.355548937990544,0.735446677150002,0.484932754197475,-0.88174358410929,-0.0493087370911749,-0.726015525860043,-0.627754140310163
"Hepatospora eriocheir",6,2,0,-0.563275400783381,-0.0781864196590752,-0.546395074046915,1.01005858521521,-0.746055383310984,0.0454659185280532,-0.694235474474612,-0.345635330518633
"Enterocytozoon hepatopenaei",6,2,0,-1.07559792683463,0.397890787603008,-0.53096448635033,2.56833470783661,-1.07126794058945,-0.0054166076374236,-1.34044184623465,-0.45148493308317
"Enterocytozoon bieneusi",6,2,0,-0.530524040924805,-0.493933288111216,-0.157157462479745,0.52221795590857,-0.123053276756174,0.316060767019983,-0.663805435717684,-0.268795019068008
"Wallemia mellicola",7,1,0,-0.0429069572641567,-0.0924663965654167,-0.327908337313144,0.740620553533464,-1.27713213770763,-0.123466265915997,-0.64827166388797,-0.275345228738625
"Wallemia ichthyophaga",6,2,0,-0.604917980924744,-0.962978080221917,-0.20559675451168,1.21362467733939,0.0345204014362626,-0.0410662367327276,-0.440080937843484,-0.236443304645106
"Mixia osmundae",4,4,0,0.396975200269479,-0.401797556729767,-0.595760819293376,-0.00059701514785275,-0.478159772284505,0.248487774880108,0.0758587532275984,0.206146752635564
"Microbotryum intermedium",5,3,0,0.494354170930884,-0.503828068429051,-0.240410599787203,-0.0204968676844034,-0.00480651270657074,0.190641471917122,-0.128658248817557,0.216584546339698
"Leucosporidium creatinivorum",4,4,0,0.348339697609525,-0.153893668224376,-0.107375954409146,0.0701257975473348,-0.706252918547209,0.0510132216135044,0.163924725830951,-0.17035405434269
"Rhodotorula taiwanensis",3,5,0,0.798936749680606,-0.0449754236929637,-0.45732645541649,0.363835539863826,-0.0964786237750311,0.448809700702691,0.0149790682159914,0.645889401748685
"Rhodotorula graminis",4,4,0,0.651862679129252,-0.206468059270403,-0.0026268222317629,-0.024637187031435,-0.362905775592901,0.304661793464209,0.0889810180292712,0.0385673002498553
"Rhodotorula toruloides",3,5,0,0.38118120550371,0.106926650589695,-0.215561191073103,-0.157034496979299,-1.28775783980735,0.226979595417836,0.040416475549319,0.375738447971615
"Rhodotorula sp. JG-1b",5,3,0,0.310458786818716,-0.656609130859563,-0.167767493870461,-0.0331679716474203,-0.594575072028802,0.101131820812294,-0.545143796595497,0.0987278364100366
"Puccinia coronata",5,3,0,-0.304021551553914,-0.198843612801683,0.129897290861916,0.421052254551638,-0.910674231911906,0.123866878442992,-0.206022143024378,-0.1820389232117
"Puccinia striiformis",4,4,0,-0.0405578512563176,0.208939916945429,-0.204882612543506,0.21118668273148,-0.186645575889228,0.100716517816975,0.444833481550738,-0.0565051825393464
"Puccinia graminis",5,3,0,-0.20948089962423,-0.403063088086026,0.117684146459421,0.0427403601564451,-0.42214578882194,0.149093106299532,-0.0907640134070592,-0.307144817139843
"Puccinia sorghi",5,3,0,-0.427362670165731,-0.192813492217111,0.194210400645933,1.0728807114444,-0.0736823215815089,0.215855429985532,-0.651205715443357,-0.61034634923355
"Malassezia globosa",2,6,0,-0.504496869116361,1.25983125559924,-0.153717598895634,0.548148951407295,0.244732794353136,0.101454454496,0.893861339456695,0.375981435745617
"Malassezia restricta",7,1,0,-0.215383147464031,-1.68820589272064,-1.03900992233262,-0.192157778511964,-1.86259844802257,-0.465881387963578,-0.675473915965598,0.369897543371097
"Malassezia sympodialis",2,6,0,0.341248259639084,0.378063807123089,0.0635172635342662,1.10155404548439,0.477234180330743,0.186810162435452,-1.18632591518932,-0.0735184826513041
"Malassezia vespertilionis",5,3,0,-0.0394852590961905,0.105896148548972,-0.304127057446669,-0.590077893287711,-0.295633276896786,0.153347655157075,0.246761810794946,-0.267140647628595
"Tilletiaria anomala",3,5,0,0.217411662961473,-0.237073361694959,0.00482117488049754,0.536139107410563,0.0226277543710057,0.183031763607244,-0.411941919650696,-0.335380682158315
"Ceraceosorus bombacis",6,2,0,0.240842257020421,-0.472285912381133,-0.564893489603382,0.070077964298419,-0.412530331894416,-0.00912586311144979,-0.792293135310666,-0.599791383098167
"Tilletia controversa",0,8,0,0.951556063340868,2.7064337748485,1.48188170123435,0.00313256810763774,2.60784102710114,0.0185319051965743,2.07261407451883,1.80379078420575
"Tilletia walkeri",6,2,0,-0.11497701977929,0.372365285274354,-0.29354616186833,-0.401730712857041,-0.734094948314264,0.0497530772185736,-0.432085374228375,-0.265574994472162
"Tilletia indica",5,3,0,-0.162008976914626,-0.565151203322583,0.0103640992741233,1.02720860480464,-0.851400242664164,0.0861725949408085,-0.387836335741188,-0.146996929227605
"Tilletia caries",6,2,0,0.0143959195768865,-0.48742997371189,-0.923328547080457,-0.128629016139102,-2.04135205450258,0.0687010207951356,-1.52031503571717,-0.0987634992222892
"Violaceomyces palustris",6,2,0,-0.0688730764570486,-0.136308715800686,-0.204633621114694,0.0282208859483991,-0.0633537577426236,0.0730021991635721,-0.828851297800173,-0.240251692733923
"Testicularia cyperi",4,4,0,0.703974746583616,-0.0908219616843977,0.345947765824602,0.673938504535471,-0.377266756083677,-0.081154348526147,-0.345610710337377,0.0294291525170909
"Pseudozyma hubeiensis",4,4,0,0.33870577164499,-0.21407808985855,0.0465051018741159,0.0882464275365593,-0.502688127558071,0.14582474376602,-0.1170713621123,-0.0898213729256391
"Kalmanozyma brasiliensis",5,3,0,0.155814803953694,0.355870024665896,-0.16516479582572,-0.282467320242537,-0.760225865665749,0.0017714154808416,-0.268665370248319,-0.0629760192062382
"Moesziomyces aphidis",3,5,0,0.450767858006287,-0.358682781105636,-0.366271528280013,0.97618858052772,0.256767075390703,0.135341702822183,-0.116441097235069,0.180952673102075
"Moesziomyces antarcticus",4,4,0,0.836239802683245,-0.263870788623698,-0.301391856221489,0.503443585312224,-0.370788500788561,0.342493905238421,-0.161892425908518,0.413034443757618
"Ustilago hordei",5,3,0,-0.0666693448580041,0.330910975805913,-0.127144733724949,-0.841604108064247,-0.596288501437738,0.16326123985042,-0.274844906857965,0.0865028372204305
"Ustilago bromivora",3,5,0,0.602469216239855,0.132509928381529,-0.344410809059972,-0.110001682205835,0.488436099553832,0.041460634292862,-0.165634293572885,0.163846369310125
"Ustilago maydis",2,6,0,0.380056295587939,0.0941596726217066,0.0296349800003137,0.200107944279467,-0.0364418897947775,0.374012710377522,0.374408134464208,-0.229881828212111
"Anthracocystis flocculosa",4,4,0,0.648602918085862,-0.228132219520842,-0.178102957807295,0.169787647085693,-0.935240242008692,0.157689610193414,-0.312257489970077,0.369051584736814
"Sporisorium graminicola",2,6,0,0.0186088654408718,-0.447448378220493,-0.408203657875061,0.155797442465239,0.56927472971744,0.0338108980210388,0.995488065655468,0.105154795254657
"Sporisorium reilianum",4,4,0,0.788975140834611,-0.201950193655374,-0.143842039262487,0.380764940126301,-0.194146318386271,0.37293061273416,-0.200190017064423,0.219614902856273
"Dacryopinax primogenitus",4,4,0,0.360324281023593,0.0494273931524665,-0.242192531807047,0.539228965946034,-0.160932908668064,0.201139212040925,-0.209856649763007,-0.408275186522173
"Calocera viscosa",6,2,0,0.649104498855384,-0.0125802298254519,-0.303812405826667,-0.199766599344649,-0.877371678386106,0.0658118666483567,-0.315889455051755,-0.497754158593752
"Calocera cornea",2,6,0,0.121776816912352,0.125758888792278,0.219107679261682,0.552806095172345,-0.106789679241629,0.291464824918687,-0.206869581488383,0.193428609228297
"Xanthophyllomyces dendrorhous",5,3,0,0.134888678316281,-0.295037754983071,-0.204728133922696,0.1510761308505,-1.08086643605811,0.117551329992821,-0.654727426484211,-0.54760629064947
"Trichosporon asahii",5,3,0,0.707782190766835,-0.0517106872513431,-0.0843389225158721,-0.0941313992396916,0.110357404724521,-0.0653685779970513,0.332078147473018,-0.146151346127873
"Naematelia encephala",4,4,0,0.0790993216830251,0.133622471650761,-0.156517438523797,0.635697775222959,-0.507695947623223,0.148801146574662,-0.466800527358193,-0.328278982737248
"Tremella mesenterica",4,4,0,0.227105308610024,-0.375561655843367,0.0984966282412936,0.908954720384069,-0.956039960216291,0.157731590695414,-0.550146630583488,-0.289337231283684
"Kwoniella heveanensis",5,3,0,0.441119925107555,0.371501051395724,0.190588616751569,-1.1269604193577,-0.474024327003989,-0.089463905897646,-0.213875689782637,-0.381190099898637
"Kwoniella bestiolae",5,3,0,-0.448813560482402,-0.148482755846887,0.285227305827951,0.432496891450146,-0.148856913005391,0.307054432507801,-0.601225788916754,-0.342823564545779
"Kwoniella dejecticola",2,6,0,0.0711280023003449,0.222941397762497,-0.424998298983902,0.364091962191809,-0.413126583057467,0.152635773963734,0.0260212732397287,0.00684629743479041
"Kwoniella pini",6,2,0,-0.449800143213291,0.00765973596094888,-0.265911954914902,0.893024290179632,-0.816012374249212,-0.113696766366361,-0.499204765939384,-0.396711259963722
"Kwoniella mangrovensis",2,6,0,0.12237694856741,0.14839542837464,0.508293598432198,0.0866012545073109,0.0427857084948302,-0.151193578895921,0.16264880331988,-0.871391618584188
"Cryptococcus wingfieldii",5,3,0,0.218860672737525,-0.110535444728422,0.76894339796984,-0.911000101858022,-1.61075180321443,0.267008249575078,-0.134211554686906,-0.0522094164551762
"Cryptococcus amylolentus",4,4,0,0.228055471985481,-0.0231458025152663,-0.324578385795398,0.133827146025135,-0.55798542437024,0.00659706579708352,0.0467088795278245,-0.544883212335726
"Cryptococcus gattii VGII",5,3,0,0.0384298548022733,0.177835524061059,-0.127946000223278,-0.0393445969780334,-0.126000559374663,0.0238744429477727,-1.01491094027057,-0.124329566295099
"Cryptococcus gattii VGIII",5,3,0,-1.09710038369659,0.116214778174289,-0.00180139138871039,-0.866972052128169,-0.057270830881244,0.223469863353797,-0.0840159433712737,0.110685488968974
"Cryptococcus gattii VGIV",6,2,0,-0.203499727585558,0.0802049642343829,-1.61387913791847,0.911921880326311,-1.86736613361479,-0.332645968188403,-2.47630794761436,-0.49181931170263
"Cryptococcus gattii VGI",5,3,0,-0.00187293006924262,-0.0399094599705168,-0.11758468016696,0.0272266933124321,-0.0321524889695065,0.0173948973137001,-0.400773124645505,0.0272903770783608
"Cryptococcus depauperatus",5,3,0,-0.256755560607478,0.214957137664923,0.208663737249198,0.137375615748483,-1.18913277663836,-0.101183218981041,-0.41318100186374,-0.640077424822951
"Cryptococcus neoformans",5,3,0,-0.0400253967716645,-0.0881578863590553,-0.839914853238648,-0.277025620360378,1.06760700016187,-0.0306040750598483,0.408058670976858,0.754343844146482
"Sphaerobolus stellatus",4,4,0,-0.103120912886921,0.183766113056268,0.0166284972049212,0.306020010793502,-0.237744858771345,0.0578944197232048,-0.155301059801096,-0.289298965331593
"Punctularia strigosozonata",6,2,0,-0.0277569383584497,-0.356711929040168,-0.35556901662334,0.192256536116326,-1.15981054024551,0.110065674065272,-0.219679242794098,-0.30015930786087
"Gloeophyllum trabeum",5,3,0,0.126113682726802,-0.29260888978865,-0.494649682719178,0.355360643095089,-0.796281730958234,0.297153395356867,-0.405083057288344,-0.0102569091987061
"Neolentinus lepideus",5,3,0,-0.217755671880135,-0.0671864854361068,0.25985211510222,0.299615803654166,-0.566063776454447,0.164473653438092,-0.320783834800626,-0.60404944362722
"Sistotremastrum niveocremeum",6,2,0,-0.0513050299418576,-0.201181645740062,-0.222820965610567,0.220176479652998,-2.01101776959834,0.0506852315531249,-0.748970871719807,-0.24822965362306
"Sistotremastrum suecicum",2,6,0,0.0341335262871658,0.559334175836032,0.148309342987526,0.330925728854789,-1.25529174710038,0.438223386571391,0.179910087255487,-0.112461281225911
"Serendipita vermifera",6,2,0,-0.110828168241621,-0.368457681205311,0.28098738314175,-0.150482036852098,-1.23349459347401,0.0328383531154578,-0.0223067807635386,-0.213269191742872
"Serendipita indica",5,3,0,-0.273652360901716,-0.0812374083853779,0.0962110393424267,0.357007975290308,-0.915353307537856,0.03443968969218,-0.25903404300347,-0.492196170817532
"Exidia glandulosa",5,3,0,0.280414039127464,-0.30971028570036,-0.155960308125986,0.228383277379101,-0.321074630492668,0.243578430686033,-0.403778437465226,-0.223800137984162
"Schizopora paradoxa",6,2,0,-0.396014312969707,0.251143186534629,-0.0500160533346589,-0.160579928435514,-0.501246576990583,-0.0325294157974895,-0.0974591806266886,0.0816152768568041
"Fomitiporia mediterranea",5,3,0,-0.46667007572211,0.229374130622288,-0.167967074028767,0.302072483963426,-0.852217404304801,0.105763027180785,-0.131478618667237,-0.177811951540687
"Pyrrhoderma noxium",6,2,0,-0.151729566053872,-0.0346717478349309,-0.56354265590797,0.519407452654555,-0.573384998170931,0.121652069679164,-0.589768548942367,-0.47318798188588
"Botryobasidium botryosum",6,2,0,0.255243039837389,-0.29200977447154,-0.0649195562696014,-0.556397162029812,-0.302639618014298,0.132959333995166,-0.315384815676241,-0.211142784566868
"Rhizoctonia solani",7,1,0,-0.101652462249369,-0.0329958809812335,-0.143401181179861,-0.0449011934736132,-0.0848179254761889,0.0452993959116108,-0.464565739590944,-0.390135157882599
"Peniophora sp. CONT",3,5,0,0.462871965913241,0.277005298374503,0.0520607973504095,0.398307334118615,-0.576724269476072,0.250947867597471,-0.431615866529196,-0.150859664634554
"Stereum hirsutum",6,2,0,0.0440911972588549,-0.212364296689489,-0.573669437799277,-0.159724533578313,-0.606311653292937,0.0825351508112634,-0.339689373508173,-0.304262463270247
"Heterobasidion irregulare",4,4,0,0.169997392347155,-0.124548596187953,-0.0836806507174488,0.209538071262252,-0.139488243355314,0.199918701874258,-0.732635344023131,0.306088444576642
"Phlebia centrifuga",6,2,0,-0.155627706041257,-0.231351369762713,0.290607754532287,-0.0841785683460666,-0.152825953517941,0.187565861884529,-0.521161774208087,-0.365021075904978
"Gelatoporia subvermispora",4,4,0,0.17817608114187,0.500296078411693,-0.0473626911991603,-0.511216220016773,-0.705612510558206,-0.0319347180638788,0.121252522510446,0.00300533519676042
"Fomitopsis pinicola",4,4,0,0.476525331942907,-0.453696951231445,0.358055672536032,0.155139116801076,-0.502256498281372,0.146872635630517,-0.860895121083312,-0.167513887013171
"Daedalea quercina",2,6,0,0.321177045161382,-0.00223721523239283,0.0242600162079899,0.469541020767348,-0.537952018239986,0.157705902901705,0.0335931492232753,0.0882351830451955
"Grifola frondosa",3,5,0,0.14979564027745,0.271996768688821,0.012245962764464,0.616768236679927,-0.370864944347063,-0.0407445143731516,0.143037163835913,-0.223443438274309
"Postia placenta",6,2,0,-0.0256935962703166,0.818933850840606,-0.156092304980799,-0.274615985920833,-1.39200880455671,-0.0525725161890931,-0.398097836968306,0.0369214900025694
"Phlebiopsis gigantea",4,4,0,0.357520269696818,0.309942208225614,-0.00582589018873199,0.400022487762675,-0.314792073349471,0.360905313773041,-0.267203551666099,-0.0572082379534912
