Species,Kingdom,Family,Counts,labels,labels_2,labels_2.1
Streptococcus sp. I-P16,Bacteria,Streptococcaceae,9,Streptococcus sp. I-P16,PATHOGENS,Streptococcus sp. I-P16
Pseudobutyrivibrio xylanivorans,Bacteria,Lachnospiraceae,10,Pseudobutyrivibrio xylanivorans,NONE REPORT,
Adlercreutzia equolifaciens,Bacteria,Eggerthellaceae,4,,NONE REPORT,
Streptococcus sp. JS71,Bacteria,Streptococcaceae,13,Streptococcus sp. JS71,PATHOGENS,Streptococcus sp. JS71
Streptococcus sp. HSISS2,Bacteria,Streptococcaceae,10,Streptococcus sp. HSISS2,PATHOGENS,Streptococcus sp. HSISS2
Butyrivibrio proteoclasticus,Bacteria,Lachnospiraceae,8,,NONE REPORT,
Streptococcus sp. FDAARGOS 192,Bacteria,Streptococcaceae,12,Streptococcus sp. FDAARGOS 192,PATHOGENS,Streptococcus sp. FDAARGOS 192
Streptococcus thermophilus,Bacteria,Streptococcaceae,10,Streptococcus thermophilus,PATHOGENS,Streptococcus thermophilus
Blautia sp. SC05B48,Bacteria,Lachnospiraceae,6,,POTENTIAL PROBIOTIC,Blautia sp. SC05B48
Streptococcus milleri,Bacteria,Streptococcaceae,11,Streptococcus milleri,PATHOGENS,Streptococcus milleri
Dialister pneumosintes,Bacteria,Veillonellaceae,5,,PATHOGENS,Dialister pneumosintes
Clostridium beijerinckii,Bacteria,Clostridiaceae,12,Clostridium beijerinckii,NONE REPORT,
Streptococcus salivarius,Bacteria,Streptococcaceae,13,Streptococcus salivarius,PATHOGENS,Streptococcus salivarius
Longibaculum sp. KGMB06250,Bacteria,Erysipelotrichaceae,1,,NONE REPORT,
Streptococcus sp. HSISS3,Bacteria,Streptococcaceae,15,Streptococcus sp. HSISS3,PATHOGENS,Streptococcus sp. HSISS3
Streptococcus sp. I-G2,Bacteria,Streptococcaceae,13,Streptococcus sp. I-G2,PATHOGENS,Streptococcus sp. I-G2
Streptococcus sp. A12,Bacteria,Streptococcaceae,11,Streptococcus sp. A12,PATHOGENS,Streptococcus sp. A12
Brachyspira pilosicoli,Bacteria,Brachyspiraceae,3,,NONE REPORT,
Streptococcus anginosus,Bacteria,Streptococcaceae,12,Streptococcus anginosus,PATHOGENS,Streptococcus anginosus
Gemella morbillorum,Bacteria,o__Bacillales,8,,PATHOGENS,Gemella morbillorum
Roseburia intestinalis,Bacteria,Lachnospiraceae,1,,NONE REPORT,
Bifidobacterium pseudocatenulatum,Bacteria,Bifidobacteriaceae,1,,NONE REPORT,
Bifidobacterium angulatum,Bacteria,Bifidobacteriaceae,1,,NONE REPORT,
Escherichia coli,Bacteria,Enterobacteriaceae,1,,NONE REPORT,
Prevotella intermedia,Bacteria,Prevotellaceae,6,,PATHOGENS,Prevotella intermedia
Lactococcus garvieae,Bacteria,Streptococcaceae,2,,NONE REPORT,
Porphyromonas asaccharolytica,Bacteria,Porphyromonadaceae,2,,PATHOGENS,Porphyromonas asaccharolytica
