Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,type,abs_zScoreDiff,Pos_Neg,rank_zScore
Streptococcus sp. HSISS3,Streptococcus sp. HSISS2,0.895333426,0,0.967800037,0,9.459989209,3.08E-21,0.009333333,0.469841603,+/+,Bacteria,9.459989209,1,rank2
Streptococcus anginosus,Streptococcus equinus,0.377541295,0,0.755179106,0,9.14177594,6.14E-20,0.009981982,0.469841603,+/+,Bacteria,9.14177594,1,rank2
Rhizophagus clarus,Naumovozyma dairenensis,0.20511765,1.06E-05,0.649974941,0,8.822521152,1.12E-18,0.010882883,0.469841603,+/+,Eukaryota,8.822521152,1,rank2
Streptococcus anginosus,Streptococcus sp. I-G2,0.604106142,0,0.145692028,0.000813535,-8.599550865,8.00E-18,0.011315315,0.469841603,+/+,Bacteria,8.599550865,-1,rank2
Sphaerulina musiva,Thielaviopsis punctulata,0.585766307,0,0.123552588,0.004581601,-8.50867229,1.76E-17,0.011459459,0.469841603,+/+,Eukaryota,8.50867229,-1,rank2
Streptococcus thermophilus,Pichia kudriavzevii,0.524526581,0,0.042184428,0.334698972,-8.405159956,4.27E-17,0.011603604,0.469841603,+/0,Intersect,8.405159956,-1,rank2
Streptococcus milleri,Streptococcus sp. I-G2,0.715587944,0,0.352092188,0,-8.255193276,1.52E-16,0.011783784,0.469841603,+/+,Bacteria,8.255193276,-1,rank2
Streptococcus anginosus,Streptococcus sp. JS71,0.591426788,0,0.154261791,0.000389035,-8.156277318,3.46E-16,0.011963964,0.469841603,+/+,Bacteria,8.156277318,-1,rank2
Streptococcus anginosus,Streptococcus sp. I-P16,0.609152319,0,0.183540961,2.32E-05,-8.118532431,4.72E-16,0.012,0.469841603,+/+,Bacteria,8.118532431,-1,rank2
Streptococcus salivarius,Streptococcus sp. HSISS3,0.926779733,0,0.813013278,0,-7.765199721,8.15E-15,0.012540541,0.469841603,+/+,Bacteria,7.765199721,-1,rank2
Streptococcus anginosus,Streptococcus sp. FDAARGOS 192,0.478108696,0,0.764959183,0,7.583512122,3.36E-14,0.012972973,0.469841603,+/+,Bacteria,7.583512122,1,rank2
Streptococcus equinus,Streptococcus sp. FDAARGOS 192,0.536645538,0,0.790298543,0,7.354261517,1.92E-13,0.013441441,0.469841603,+/+,Bacteria,7.354261517,1,rank2
Aspergillus rambellii,Thielaviopsis punctulata,0.451689545,0,0.015658149,0.720388174,-7.328866827,2.32E-13,0.013441441,0.469841603,+/0,Eukaryota,7.328866827,-1,rank2
Fusobacterium nucleatum,Fusobacterium periodonticum,0.239842302,2.32E-07,0.613809083,0,7.317078428,2.53E-13,0.013441441,0.469841603,+/+,Bacteria,7.317078428,1,rank2
Streptococcus milleri,Streptococcus sp. HSISS2,0.798446801,0,0.564855465,0,-7.06779317,1.57E-12,0.014234234,0.469841603,+/+,Bacteria,7.06779317,-1,rank2
Streptococcus sp. A12,Streptococcus sp. I-G2,0.901736759,0,0.959013925,0,7.031523233,2.04E-12,0.014342342,0.469841603,+/+,Bacteria,7.031523233,1,rank2
Streptococcus sp. HSISS3,Pichia kudriavzevii,0.474010467,0,0.068296356,0.118061653,-6.950356523,3.64E-12,0.014594595,0.469841603,+/0,Intersect,6.950356523,-1,rank2
Streptococcus anginosus,Streptococcus sp. HSISS1,0.560619832,0,0.793045003,0,6.935118203,4.06E-12,0.014594595,0.469841603,+/+,Bacteria,6.935118203,1,rank2
Dialister pneumosintes,Aspergillus rambellii,0.036720058,0.435090312,0.444565989,0,6.862362961,6.77E-12,0.014882883,0.469841603,0/+,Intersect,6.862362961,1,rank2
Brachyspira pilosicoli,Schizosaccharomyces pombe,0.380141622,0,-0.037203317,0.394937258,-6.804421909,1.01E-11,0.014990991,0.469841603,+/0,Intersect,6.804421909,-1,rank2
Streptococcus sp. A12,Streptococcus sp. JS71,0.895047147,0,0.954760365,0,6.786301804,1.15E-11,0.014990991,0.469841603,+/+,Bacteria,6.786301804,1,rank2
Streptococcus sp. I-P16,Streptococcus milleri,0.685984106,0,0.388596531,0,-6.691477871,2.21E-11,0.015567568,0.469841603,+/+,Bacteria,6.691477871,-1,rank2
Streptococcus milleri,Streptococcus sp. JS71,0.662457968,0,0.351861519,0,-6.68260873,2.35E-11,0.015567568,0.469841603,+/+,Bacteria,6.68260873,-1,rank2
Baudoinia panamericana,Choanephora cucurbitarum,0.370405137,4.44E-16,-0.023470217,0.591569963,-6.414327325,1.41E-10,0.016396396,0.469841603,+/0,Eukaryota,6.414327325,-1,rank2
Romboutsia ilealis,Albugo candida,0.394486344,0,0.007320256,0.86710993,-6.374112548,1.84E-10,0.016468468,0.469841603,+/0,Intersect,6.374112548,-1,rank2
Streptococcus equinus,Streptococcus sp. HSISS1,0.590352149,0,0.794141534,0,6.289468051,3.19E-10,0.016756757,0.469841603,+/+,Bacteria,6.289468051,1,rank2
Streptococcus anginosus,Streptococcus sp. A12,0.462437565,0,0.102239065,0.019121671,-6.187892154,6.10E-10,0.017225225,0.469841603,+/+,Bacteria,6.187892154,-1,rank2
Clostridium beijerinckii,Adlercreutzia equolifaciens,0.451677731,0,0.089073167,0.041338912,-6.183011118,6.29E-10,0.017261261,0.469841603,+/+,Bacteria,6.183011118,-1,rank2
Fusobacterium nucleatum,Parvimonas micra,0.60618327,0,0.297670265,3.34E-12,-6.15824172,7.36E-10,0.017441441,0.469841603,+/+,Bacteria,6.15824172,-1,rank2
Streptococcus equinus,Streptococcus sp. HSISS2,0.504384888,0,0.737182472,0,6.052566159,1.43E-09,0.017765766,0.469841603,+/+,Bacteria,6.052566159,1,rank2
Streptococcus sp. FDAARGOS 192,Pichia kudriavzevii,0.453330094,0,0.104633733,0.01646993,-5.970991212,2.36E-09,0.018198198,0.469841603,+/+,Intersect,5.970991212,-1,rank3
Streptococcus salivarius,Streptococcus sp. A12,0.495295421,0,0.728989955,0,5.965543464,2.44E-09,0.018198198,0.469841603,+/+,Bacteria,5.965543464,1,rank3
Fusobacterium nucleatum,Aspergillus rambellii,0.39329118,0,0.033449001,0.444390572,-5.945485882,2.76E-09,0.018378378,0.469841603,+/0,Intersect,5.945485882,-1,rank3
Streptococcus equinus,Streptococcus sp. HSISS3,0.582786453,0,0.780213972,0,5.89911966,3.65E-09,0.018522523,0.469841603,+/+,Bacteria,5.89911966,1,rank3
Dialister pneumosintes,Moniliophthora perniciosa,-0.037696238,0.42297264,0.327603456,1.33E-14,5.877500072,4.17E-09,0.018630631,0.469841603,0/+,Intersect,5.877500072,1,rank3
Bifidobacterium pseudocatenulatum,Debaryomyces hansenii,0.338042626,1.34E-13,-0.024570795,0.574299626,-5.855744815,4.75E-09,0.018774775,0.469841603,+/0,Intersect,5.855744815,-1,rank3
Streptococcus anginosus,Streptococcus milleri,0.881167907,0,0.768292255,0,-5.674767363,1.39E-08,0.019387387,0.469841603,+/+,Bacteria,5.674767363,-1,rank3
Moniliophthora perniciosa,Erysiphe pulchra,0.37937389,0,0.03658368,0.402862736,-5.642197136,1.68E-08,0.019567568,0.469841603,+/0,Eukaryota,5.642197136,-1,rank3
Streptococcus sp. HSISS1,Pichia kudriavzevii,0.418088912,0,0.087235619,0.045731312,-5.567345203,2.59E-08,0.01981982,0.469841603,+/+,Intersect,5.567345203,-1,rank3
Streptococcus sp. HSISS1,Streptococcus sp. HSISS2,0.977174955,0,0.98862327,0,5.460249889,4.75E-08,0.020324324,0.469841603,+/+,Bacteria,5.460249889,1,rank3
Erysiphe pulchra,Edhazardia aedis,-0.119796771,0.010627563,0.225617429,1.74E-07,5.443308663,5.23E-08,0.020396396,0.469841603,-/+,Eukaryota,5.443308663,1,rank3
Streptococcus sp. JS71,Albugo candida,0.387472252,0,0.061192542,0.161493085,-5.406153893,6.44E-08,0.020648649,0.469841603,+/0,Intersect,5.406153893,-1,rank3
Brachyspira pilosicoli,[Eubacterium] eligens,-0.020627214,0.661136401,0.313971818,1.79E-13,5.375393356,7.64E-08,0.020756757,0.469841603,0/+,Bacteria,5.375393356,1,rank3
Moniliophthora perniciosa,Thielaviopsis punctulata,0.274363916,2.78E-09,-0.063013024,0.149358392,-5.361360825,8.26E-08,0.020792793,0.469841603,+/0,Eukaryota,5.361360825,-1,rank3
[Eubacterium] eligens,Streptococcus sp. HSISS3,0.323501126,1.61E-12,-0.002785382,0.949233688,-5.262811268,1.42E-07,0.021225225,0.469841603,+/0,Bacteria,5.262811268,-1,rank3
Gemella morbillorum,Dialister pneumosintes,0.542406908,0,0.264319024,7.67E-10,-5.239096457,1.61E-07,0.021261261,0.469841603,+/+,Bacteria,5.239096457,-1,rank3
Streptococcus sp. I-G2,Albugo candida,0.370137507,4.44E-16,0.056224794,0.19836671,-5.16886497,2.36E-07,0.021693694,0.469841603,+/0,Intersect,5.16886497,-1,rank3
Roseburia intestinalis,Pseudocercospora musae,0.386701716,0,0.076221189,0.081015685,-5.157173565,2.51E-07,0.021765766,0.469841603,+/0,Intersect,5.157173565,-1,rank3
Fusobacterium periodonticum,Streptococcus sp. I-P16,-0.020501327,0.663076912,0.300507332,2.03E-12,5.142159267,2.72E-07,0.02190991,0.469841603,0/+,Bacteria,5.142159267,1,rank3
Moniliophthora perniciosa,Sphaerulina musiva,0.345291871,3.69E-14,0.03028712,0.488642305,-5.129879916,2.90E-07,0.021945946,0.469841603,+/0,Eukaryota,5.129879916,-1,rank3
Erysiphe pulchra,Albugo candida,-0.065737825,0.16200936,0.256253263,2.57E-09,5.100869725,3.38E-07,0.022126126,0.469841603,0/+,Eukaryota,5.100869725,1,rank3
Parvimonas micra,Aspergillus rambellii,0.32289864,1.78E-12,0.009153292,0.834266549,-5.066637612,4.05E-07,0.022342342,0.469841603,+/0,Intersect,5.066637612,-1,rank3
Streptococcus sp. HSISS2,Pichia kudriavzevii,0.399478039,0,0.10005425,0.021858225,-5.018593521,5.21E-07,0.02245045,0.469841603,+/+,Intersect,5.018593521,-1,rank3
