Gene1,Gene2,adenoma_cor,adenoma_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Streptococcus thermophilus,Cordyceps sp. RAO-2017,0.125240767,0.019083585,-0.054658807,0.211175264,-2.607619816,0.009117416,0.048611111,0.733536468,+/0,pos,1
Parvimonas micra,Phytopythium vexans,0.248371867,2.55E-06,0.074309113,0.088956216,-2.587629717,0.00966388,0.049156746,0.733536468,+/0,pos,1
Lactococcus garvieae,Lipomyces starkeyi,0.136052799,0.010832137,-0.034854794,0.425472949,-2.479927614,0.013140906,0.054117063,0.733536468,+/0,pos,1
Fusobacterium nucleatum,Pneumocystis murina,0.249458572,2.30E-06,0.084329432,0.053474978,-2.458770319,0.013941378,0.054811508,0.733536468,+/0,pos,1
Lactococcus garvieae,Coniochaeta ligniaria,0.1575088,0.003130313,-0.010268434,0.814422356,-2.441368866,0.014631701,0.055853175,0.733536468,+/0,pos,1
Prevotella intermedia,Lipomyces starkeyi,0.269551784,3.06E-07,0.1073277,0.013876848,-2.434696776,0.014904274,0.056200397,0.733536468,+/+,pos,1
Parvimonas micra,Aspergillus rambellii,0.173980149,0.001082392,0.009153292,0.834266549,-2.405487714,0.016150895,0.057490079,0.733536468,+/0,pos,1
Bifidobacterium catenulatum,Naumovozyma dairenensis,0.140803312,0.008341636,-0.024112855,0.581456714,-2.394630429,0.016637125,0.057986111,0.733536468,+/0,pos,1
Brachyspira pilosicoli,Edhazardia aedis,0.158506754,0.002943261,-0.005444646,0.90095418,-2.386498116,0.017009695,0.058333333,0.733536468,+/0,pos,1
Prevotella intermedia,Trichoderma atroviride,0.215241412,4.91E-05,0.05386467,0.21789399,-2.378482397,0.017384067,0.058680556,0.733536468,+/0,pos,1
Butyrivibrio proteoclasticus,Baudoinia panamericana,0.285409604,5.51E-08,0.129611383,0.002927495,-2.356435527,0.01845127,0.060168651,0.733536468,+/+,pos,1
Fusobacterium periodonticum,Pneumocystis murina,0.225503755,2.06E-05,0.067467852,0.122598609,-2.337085038,0.019434763,0.061507937,0.733536468,+/0,pos,1
Streptococcus salivarius,Trichoderma atroviride,0.148298413,0.005438045,-0.009644772,0.825506791,-2.296205129,0.021664155,0.063938492,0.733536468,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Baudoinia panamericana,0.294857824,1.89E-08,0.147156399,0.000719156,-2.247125312,0.02463202,0.067311508,0.733536468,+/+,pos,1
Streptococcus equinus,Lipomyces starkeyi,0.115871065,0.030212028,-0.039070104,0.37163449,-2.244788285,0.024781727,0.067509921,0.733536468,+/0,pos,1
Brachyspira pilosicoli,Trichoderma atroviride,0.108353809,0.042782154,-0.04523894,0.300849503,-2.224097331,0.026141896,0.069246032,0.733536468,+/0,pos,1
Streptococcus anginosus,Aspergillus ochraceoroseus,0.13601419,0.010854821,-0.012720502,0.771219309,-2.159603229,0.030803398,0.074007937,0.733536468,+/0,pos,1
[Eubacterium] eligens,Lipomyces starkeyi,0.143065808,0.007345851,-0.005247801,0.904517649,-2.155536829,0.03111985,0.074206349,0.733536468,+/0,pos,1
Streptococcus equinus,Edhazardia aedis,0.172535893,0.001192617,0.025295388,0.563060781,-2.150866325,0.031486752,0.074255952,0.733536468,+/0,pos,1
Lactobacillus ruminis,Lipomyces starkeyi,0.121418304,0.023097759,-0.026072607,0.551124538,-2.138167393,0.03250316,0.075198413,0.733536468,+/0,pos,1
Porphyromonas asaccharolytica,Pseudocercospora musae,-0.158036027,0.003030189,-0.012118143,0.781772522,2.125956426,0.033506888,0.076289683,0.733536468,-/0,neg,2
Clostridium beijerinckii,Rhizophagus irregularis,0.292632363,2.44E-08,0.1530179,0.000434051,-2.125385625,0.033554449,0.076289683,0.733536468,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Colletotrichum salicis,0.15944887,0.002776055,0.015389994,0.724981212,-2.099635412,0.035760925,0.078174603,0.733536468,+/0,pos,1
Prevotella intermedia,Pichia kudriavzevii,0.176630789,0.000904151,0.036558035,0.403192778,-2.049083661,0.040453935,0.082390873,0.738396337,+/0,pos,1
Butyrivibrio proteoclasticus,Colletotrichum salicis,0.145429457,0.006420273,0.004614125,0.916001726,-2.048004922,0.040559517,0.082539683,0.738396337,+/0,pos,1
Romboutsia ilealis,Pseudocercospora musae,0.143251315,0.007269119,0.005896349,0.892784662,-1.997376471,0.045784302,0.087946429,0.762923488,+/0,pos,1
Streptococcus salivarius,Edhazardia aedis,0.143387304,0.007213325,0.007451551,0.864749135,-1.976926829,0.048049902,0.090029762,0.764299505,+/0,pos,1
Streptococcus milleri,Aspergillus ochraceoroseus,0.119210335,0.025734078,-0.016700509,0.702631023,-1.970449766,0.048786847,0.090575397,0.764299505,+/0,pos,1
Dialister pneumosintes,Colletotrichum salicis,0.10593235,0.047670007,-0.029555068,0.499215156,-1.961974952,0.049765401,0.091666667,0.764299505,+/0,pos,1
Roseburia intestinalis,Rhizophagus irregularis,0.192288997,0.000296485,0.061351179,0.160407012,-1.924288616,0.054318417,0.095089286,0.764299505,+/0,pos,1
Bifidobacterium bifidum,Pichia kudriavzevii,0.122228119,0.022191141,-0.009534679,0.827467161,-1.911188731,0.055980331,0.096428571,0.764299505,+/0,pos,1
Clostridium beijerinckii,Aspergillus ochraceoroseus,0.161832231,0.002390919,0.031832028,0.466730296,-1.897437939,0.057770162,0.09781746,0.764299505,+/0,pos,1
Escherichia coli,Colletotrichum salicis,0.242482564,4.46E-06,0.117422999,0.007072538,-1.868823631,0.061647356,0.100595238,0.764299505,+/+,pos,1
Lactobacillus ruminis,Colletotrichum fioriniae,0.130275571,0.014731378,0.006337512,0.884816687,-1.800096764,0.07184536,0.108630952,0.764299505,+/0,pos,1
Parvimonas micra,Pneumocystis murina,0.200355715,0.000161146,0.07902105,0.070433323,-1.789043457,0.073607817,0.110416667,0.764299505,+/0,pos,1
Streptococcus salivarius,Leucoagaricus sp. SymC.cos,0.117327302,0.028183258,-0.005017375,0.908691462,-1.774181609,0.076033115,0.11235119,0.764299505,+/0,pos,1
Roseburia intestinalis,Edhazardia aedis,0.146741767,0.005952801,0.025830132,0.55483503,-1.760977198,0.078242262,0.113690476,0.764299505,+/0,pos,1
Streptococcus milleri,Moniliophthora perniciosa,0.10521001,0.049215582,-0.014887432,0.733615771,-1.739557186,0.081936803,0.117013889,0.764299505,+/0,pos,1
Fusobacterium periodonticum,Leucoagaricus sp. SymC.cos,0.112828425,0.034856853,-0.007161255,0.869970492,-1.739310831,0.081980103,0.117013889,0.764299505,+/0,pos,1
Porphyromonas asaccharolytica,[Candida] arabinofermentans,-0.12300203,0.021353681,-0.003236436,0.941026702,1.73814607,0.082185079,0.117212302,0.764299505,-/0,neg,2
Gemella morbillorum,Pneumocystis murina,0.175290968,0.000990553,0.058303782,0.18225036,-1.714448741,0.086446343,0.120535714,0.764299505,+/0,pos,1
Bifidobacterium pseudocatenulatum,Baudoinia panamericana,0.121470762,0.023038075,0.003330203,0.93932134,-1.714349362,0.086464582,0.120634921,0.764299505,+/0,pos,1
Porphyromonas asaccharolytica,Rhizophagus irregularis,-0.138184,0.009643232,-0.022408541,0.608451791,1.684292426,0.092125168,0.12514881,0.767709049,-/0,neg,2
Prevotella intermedia,Phytopythium vexans,0.183862059,0.000546315,0.070045868,0.108913362,-1.672089005,0.094506772,0.126736111,0.770681519,+/0,pos,1
Butyrivibrio proteoclasticus,Coniochaeta ligniaria,-0.137701454,0.009901781,-0.023313465,0.594048963,1.664118944,0.096088662,0.128125,0.770681519,-/0,neg,2
Romboutsia ilealis,Colletotrichum fioriniae,0.105135384,0.049377616,-0.008778929,0.840952744,-1.650263991,0.098888954,0.130357143,0.770681519,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Coniochaeta ligniaria,-0.126409018,0.017984633,-0.013028573,0.765838111,1.646727481,0.099614073,0.130952381,0.770681519,-/0,neg,2
Streptococcus equinus,Trichoderma atroviride,0.157824278,0.003070047,0.045296643,0.300232745,-1.643369343,0.100306539,0.131299603,0.770681519,+/0,pos,1
Porphyromonas asaccharolytica,Lipomyces starkeyi,0.107138798,0.04517925,-0.005682241,0.896655661,-1.634807083,0.102089495,0.13234127,0.770681519,+/0,pos,1
Streptococcus anginosus,Edhazardia aedis,0.117222302,0.028325525,0.005886394,0.89296458,-1.615220457,0.106262962,0.136210317,0.770681519,+/0,pos,1
Romboutsia ilealis,Trichoderma atroviride,0.118761526,0.026300548,0.008685797,0.842617902,-1.597338282,0.110190322,0.13859127,0.771438481,+/0,pos,1
Escherichia coli,Phytophthora capsici,0.128665834,0.016017107,0.020673536,0.636490264,-1.569443322,0.116544676,0.142559524,0.776547955,+/0,pos,1
Bifidobacterium longum,Tuber magnatum,0.129392623,0.01542492,0.022887085,0.600815895,-1.548140785,0.121588404,0.146180556,0.776547955,+/0,pos,1
Porphyromonas asaccharolytica,Phytopythium vexans,0.186436073,0.000454533,0.081639216,0.06158777,-1.542221826,0.123019698,0.147172619,0.776547955,+/0,pos,1
Dialister pneumosintes,Leucoagaricus sp. SymC.cos,0.196531139,0.000215809,0.094461921,0.03045848,-1.506941451,0.131825665,0.153174603,0.777888217,+/+,pos,1
Prevotella intermedia,Rhizophagus clarus,-0.213418552,5.70E-05,-0.112246903,0.010055699,1.501903507,0.133122031,0.154414683,0.777888217,-/-,neg,2
Bifidobacterium bifidum,Rhizophagus irregularis,0.107781111,0.043898349,0.005017821,0.908683385,-1.489705807,0.136301607,0.157142857,0.777888217,+/0,pos,1
Anaerostipes hadrus,Moniliophthora perniciosa,0.150169542,0.004872469,0.048598063,0.266342779,-1.482400061,0.138233878,0.15843254,0.777888217,+/0,pos,1
Lactobacillus ruminis,Colletotrichum salicis,0.155381208,0.003565593,0.066344069,0.128968207,-1.302378784,0.192786931,0.19796627,0.777888217,+/0,pos,1
Streptococcus milleri,Edhazardia aedis,0.125423261,0.018908156,0.035879607,0.411982584,-1.302144222,0.192867088,0.198115079,0.777888217,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Rhizophagus irregularis,0.155333002,0.003576061,0.066698816,0.126930396,-1.296521193,0.194795983,0.199454365,0.777888217,+/0,pos,1
[Eubacterium] eligens,Aspergillus rambellii,-0.12242829,0.021971851,-0.033650529,0.441649599,1.290451196,0.196894046,0.201636905,0.777888217,-/0,neg,2
Bifidobacterium pseudocatenulatum,Colletotrichum fioriniae,0.112425978,0.035514482,0.024592756,0.573957455,-1.274905964,0.202342528,0.205853175,0.777888217,+/0,pos,1
Prevotella intermedia,Edhazardia aedis,-0.138964454,0.009237732,-0.051586865,0.238011364,1.273913002,0.20269425,0.206200397,0.777888217,-/0,neg,2
Bifidobacterium longum,Pseudocercospora musae,0.138309069,0.009577205,0.052519239,0.229624056,-1.250767828,0.211019196,0.212996032,0.777888217,+/0,pos,1
Gemella morbillorum,Aspergillus rambellii,0.129299035,0.015500083,0.044223992,0.311835284,-1.238357366,0.215583582,0.216269841,0.777888217,+/0,pos,1
Roseburia intestinalis,[Candida] arabinofermentans,0.105175944,0.049289494,0.021684113,0.620092344,-1.210995517,0.225897123,0.223759921,0.777888217,+/0,pos,1
Bifidobacterium catenulatum,Baudoinia panamericana,0.108075338,0.043321875,0.024672967,0.572708481,-1.21016213,0.226216686,0.22390873,0.777888217,+/0,pos,1
Roseburia intestinalis,Erysiphe pulchra,0.158501838,0.002944157,0.077983219,0.074215826,-1.179649335,0.238139713,0.232738095,0.777888217,+/0,pos,1
Parvimonas micra,Paracoccidioides brasiliensis,0.124674424,0.019637056,0.044272784,0.311301204,-1.16978958,0.242085658,0.23531746,0.777888217,+/0,pos,1
Bifidobacterium adolescentis,Cordyceps sp. RAO-2017,0.11665195,0.029109116,0.036333583,0.406088333,-1.16706248,0.243185139,0.236011905,0.777888217,+/0,pos,1
Prevotella intermedia,Choanephora cucurbitarum,0.136204844,0.010743209,0.057182979,0.19081422,-1.152269119,0.249210503,0.240029762,0.777888217,+/0,pos,1
Fusobacterium nucleatum,Leucoagaricus sp. SymC.cos,0.111075839,0.037798222,0.033215643,0.447576532,-1.130569657,0.258236265,0.246875,0.781859105,+/0,pos,1
Butyrivibrio proteoclasticus,Lipomyces starkeyi,0.368644339,1.04E-12,0.301959006,1.57E-12,-1.085400308,0.277744396,0.261458333,0.790575983,+/+,pos,2
Bifidobacterium adolescentis,Colletotrichum salicis,0.117141504,0.028435419,0.044693089,0.306725416,-1.053339323,0.292185503,0.272271825,0.790575983,+/0,pos,1
Anaerostipes hadrus,Naumovozyma dairenensis,0.117481367,0.027975622,0.047274335,0.279602014,-1.020968991,0.30726913,0.283928571,0.790575983,+/0,pos,1
Butyrivibrio proteoclasticus,Phytopythium vexans,0.139993974,0.00872603,0.071462686,0.101922363,-1.001015634,0.31681925,0.289980159,0.791483948,+/0,pos,1
Parvimonas micra,Thielaviopsis punctulata,0.151940427,0.004386583,0.085959922,0.049005997,-0.966637421,0.333725321,0.303174603,0.802372599,+/+,pos,1
Anaerostipes hadrus,Baudoinia panamericana,0.301469012,8.70E-09,0.242003105,1.96E-08,-0.92737361,0.353732588,0.318799603,0.809458909,+/+,pos,2
Bifidobacterium pseudocatenulatum,Phytophthora capsici,-0.115441844,0.030833342,-0.051989164,0.234366343,0.922880365,0.356069554,0.320833333,0.81159185,-/0,neg,2
Streptococcus equinus,Rhizophagus clarus,0.105646889,0.048275875,0.042635538,0.32955144,-0.915061988,0.360159089,0.323958333,0.812301921,+/0,pos,1
Gemella morbillorum,Thielaviopsis punctulata,0.114254526,0.032609213,0.051528336,0.238544978,-0.912180455,0.361673731,0.325396825,0.812301921,+/0,pos,1
Parvimonas micra,Edhazardia aedis,0.106766179,0.045936602,0.165877212,0.000134457,0.869849292,0.38438277,0.344742063,0.820532029,+/+,pos,1
Porphyromonas asaccharolytica,Phytophthora capsici,0.146342776,0.006091591,0.204064875,2.43E-06,0.860028037,0.389773588,0.350049603,0.822048841,+/+,pos,1
Clostridium beijerinckii,Erysiphe pulchra,0.115472425,0.030788717,0.056779136,0.193971204,-0.853967637,0.393122921,0.353174603,0.822048841,+/0,pos,1
[Eubacterium] eligens,Trichoderma atroviride,-0.131330211,0.01393896,-0.076162625,0.081250074,0.8053601,0.42061191,0.37703373,0.826522618,-/0,neg,2
Gemella morbillorum,Phytopythium vexans,0.147582315,0.005669659,0.093723589,0.031786395,-0.789273629,0.429952096,0.385367063,0.826786555,+/+,pos,1
Prevotella intermedia,Rhizophagus irregularis,-0.193845527,0.000264076,-0.141612622,0.001140212,0.776141422,0.437665488,0.39047619,0.826786555,-/-,neg,2
Fusobacterium nucleatum,Choanephora cucurbitarum,0.134480571,0.011790595,0.08311342,0.057024588,-0.750668497,0.452852187,0.403819444,0.826786555,+/0,pos,1
Dialister pneumosintes,Choanephora cucurbitarum,0.151016747,0.004634273,0.100388163,0.021419161,-0.742853799,0.4575702,0.408680556,0.826786555,+/+,pos,1
Prevotella intermedia,Baudoinia panamericana,-0.179094102,0.000763191,-0.131235961,0.002587926,0.708146898,0.478854039,0.425694444,0.826786555,-/-,neg,2
Butyrivibrio proteoclasticus,Choanephora cucurbitarum,0.152874086,0.004148421,0.104706685,0.016394471,-0.707291644,0.479385257,0.425992063,0.826786555,+/+,pos,1
Streptococcus milleri,Pneumocystis murina,0.111214785,0.037557594,0.063389818,0.146935802,-0.695910713,0.486484748,0.431845238,0.826786555,+/0,pos,1
Anaerostipes hadrus,Leucoagaricus sp. SymC.cos,0.105494052,0.048602898,0.150845714,0.000524475,0.665821305,0.505525325,0.446626984,0.827547999,+/+,pos,1
Roseburia intestinalis,Pichia kudriavzevii,0.109109894,0.041345212,0.152605339,0.000450022,0.639012794,0.522814609,0.46046627,0.828354006,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Lipomyces starkeyi,0.436082852,0,0.400328403,0,-0.625770568,0.531465439,0.46875,0.83003712,+/+,pos,2
Romboutsia ilealis,Edhazardia aedis,0.10825051,0.042981699,0.149842786,0.000571878,0.610750744,0.541364607,0.477529762,0.832159231,+/+,pos,1
Prevotella intermedia,Leucoagaricus sp. SymC.cos,0.105137247,0.049373565,0.064308674,0.141153747,-0.593807168,0.552641094,0.487599206,0.832159231,+/0,pos,1
Butyrivibrio proteoclasticus,Rhizophagus irregularis,0.1076831,0.044091805,0.067448326,0.12270715,-0.585457593,0.558240073,0.492460317,0.832159231,+/0,pos,1
Anaerostipes hadrus,Edhazardia aedis,0.180859036,0.000675005,0.142247009,0.001082518,-0.572478808,0.566997639,0.50109127,0.832159231,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Choanephora cucurbitarum,0.122852148,0.021513696,0.083712122,0.055253247,-0.571251399,0.567829241,0.501835317,0.832159231,+/0,pos,1
Roseburia intestinalis,Rhizophagus clarus,0.132390943,0.013180003,0.094460729,0.030460585,-0.554823092,0.57901567,0.513144841,0.832159231,+/+,pos,1
Bifidobacterium longum,Rhizophagus irregularis,0.128028938,0.016552314,0.090126716,0.038985206,-0.553870376,0.57966756,0.513740079,0.832159231,+/+,pos,1
Fusobacterium nucleatum,Moniliophthora perniciosa,0.134834445,0.011568566,0.098305507,0.02428743,-0.534712963,0.592848356,0.52703373,0.832159231,+/+,pos,1
[Eubacterium] eligens,Thielaviopsis punctulata,0.110413261,0.038963714,0.074903079,0.086425271,-0.517172451,0.605035782,0.538740079,0.832159231,+/0,pos,1
Clostridium beijerinckii,Pichia kudriavzevii,0.111031646,0.037875028,0.144771196,0.00087862,0.495264656,0.620413316,0.552480159,0.832159231,+/+,pos,1
Anaerostipes hadrus,[Candida] arabinofermentans,0.304874423,5.80E-09,0.275637098,1.31E-10,-0.460995069,0.644802143,0.575694444,0.832159231,+/+,pos,2
Prevotella intermedia,Pneumocystis murina,-0.139990408,0.008727759,-0.111542453,0.010538132,0.417346765,0.676424787,0.606894841,0.832159231,-/-,neg,2
Pseudobutyrivibrio xylanivorans,Rhizophagus clarus,0.123048882,0.021303873,0.094953365,0.029601185,-0.410533201,0.681414854,0.611507937,0.832159231,+/+,pos,1
Anaerostipes hadrus,Pseudocercospora musae,0.209574987,7.79E-05,0.182627622,2.55E-05,-0.404640014,0.685742141,0.615625,0.832159231,+/+,pos,1
Prevotella intermedia,Tuber magnatum,-0.172532235,0.001192909,-0.199552563,4.07E-06,-0.404119694,0.686124703,0.616021825,0.832159231,-/-,neg,2
Gemella morbillorum,Trichoderma atroviride,0.107890874,0.043682542,0.081239552,0.062875536,-0.388272755,0.697814197,0.627480159,0.832159231,+/0,pos,1
Bifidobacterium longum,Edhazardia aedis,0.162054858,0.002357555,0.139602443,0.001342269,-0.331716886,0.740103049,0.673462302,0.833607376,+/+,pos,1
Fusobacterium nucleatum,Edhazardia aedis,0.26680062,4.07E-07,0.287763254,1.81E-11,0.327871171,0.743009072,0.676488095,0.834380929,+/+,pos,1
Prevotella intermedia,Pseudocercospora musae,-0.172545347,0.001191863,-0.152130735,0.00046907,0.302724205,0.76210005,0.696031746,0.834827324,-/-,neg,2
Butyrivibrio proteoclasticus,Pseudocercospora musae,0.158062084,0.003025317,0.170915872,8.29E-05,0.190739433,0.848729743,0.797172619,0.834827324,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Edhazardia aedis,0.127558619,0.016957516,0.140506764,0.001247607,0.190360664,0.849026519,0.797619048,0.834827324,+/+,pos,1
Porphyromonas asaccharolytica,Thielaviopsis punctulata,0.10649191,0.046500837,0.093570076,0.032068624,-0.188446521,0.850526634,0.799355159,0.834827324,+/+,pos,1
Fusobacterium nucleatum,Rhizophagus clarus,0.141332236,0.008098645,0.153516346,0.000415459,0.179817903,0.857295529,0.806944444,0.834827324,+/+,pos,1
Prevotella intermedia,[Candida] arabinofermentans,-0.224482311,2.25E-05,-0.213284276,8.13E-07,0.169808578,0.865160681,0.816666667,0.834827324,-/-,neg,2
Roseburia intestinalis,Lipomyces starkeyi,0.163147729,0.002199843,0.173541235,6.41E-05,0.154433764,0.877267733,0.830853175,0.834827324,+/+,pos,1
Butyrivibrio proteoclasticus,[Candida] arabinofermentans,0.134108998,0.01202777,0.12393123,0.004457575,-0.149429694,0.881214582,0.836656746,0.834827324,+/+,pos,1
Pseudobutyrivibrio xylanivorans,[Candida] arabinofermentans,0.12555008,0.018787074,0.116054059,0.007772546,-0.139129642,0.889347705,0.846825397,0.834827324,+/+,pos,1
Prevotella intermedia,Erysiphe pulchra,-0.186166958,0.000463411,-0.177842916,4.17E-05,0.124296055,0.901080871,0.861904762,0.834827324,-/-,neg,2
Pseudobutyrivibrio xylanivorans,Pseudocercospora musae,0.224184032,2.30E-05,0.231595239,8.01E-08,0.112860741,0.910140962,0.874007937,0.834827324,+/+,pos,1
Butyrivibrio proteoclasticus,Edhazardia aedis,0.124364112,0.019946195,0.131963672,0.002447802,0.111551087,0.911179357,0.874950397,0.834827324,+/+,pos,1
Fusobacterium periodonticum,Edhazardia aedis,0.168413938,0.001566462,0.173142682,6.67E-05,0.07032205,0.943937332,0.918452381,0.837258307,+/+,pos,1
Anaerostipes hadrus,Rhizophagus clarus,0.14894427,0.005236483,0.152409005,0.000457813,0.051183998,0.959178903,0.941269841,0.839710772,+/+,pos,1
Prevotella intermedia,Schizosaccharomyces pombe,-0.109285671,0.041017042,-0.108941807,0.012501662,0.005024338,0.995991175,0.993998016,0.849793797,-/-,neg,2
