Gene1,Gene2,CRC_cor,CRC_pVal,adenoma_cor,adenoma_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Streptococcus anginosus,Streptococcus milleri,0.881167907,0,0.896788554,0,1.044705273,0.296159207,0.255952381,0.512346651,+/+,pos,3
Pseudobutyrivibrio xylanivorans,Roseburia intestinalis,0.35482832,6.44E-15,0.418040438,4.44E-16,1.041312951,0.297730328,0.257043651,0.512346651,+/+,pos,2
Parvimonas micra,Fusobacterium periodonticum,0.158628202,0.000693544,0.228852469,1.53E-05,1.022276771,0.306649924,0.261607143,0.513761928,+/+,pos,1
Streptococcus anginosus,Lactobacillus ruminis,0.038573856,0.412248508,0.110086082,0.039550352,1.007461179,0.313713204,0.267311508,0.513761928,0/+,pos,1
Butyrivibrio proteoclasticus,Roseburia intestinalis,0.341143868,7.77E-14,0.401755456,5.33E-15,0.98523659,0.324507872,0.274950397,0.513761928,+/+,pos,2
Romboutsia ilealis,Streptococcus milleri,0.074708571,0.111909226,0.142646051,0.007522155,0.963159228,0.335467623,0.283878968,0.515449095,0/+,pos,1
Streptococcus equinus,Streptococcus thermophilus,0.235430111,3.89E-07,0.173000713,0.001156064,-0.912670314,0.361415961,0.301240079,0.524606822,+/+,pos,1
Gemella morbillorum,Fusobacterium periodonticum,0.316928209,4.74E-12,0.257841447,1.01E-06,-0.902330766,0.366881187,0.304563492,0.524672887,+/+,pos,1
Fusobacterium nucleatum,Streptococcus anginosus,0.164724105,0.000424685,0.106219085,0.047067852,-0.834881509,0.403784427,0.332787698,0.537818204,+/+,pos,1
Anaerostipes hadrus,Prevotella intermedia,-0.083523798,0.075425863,-0.141979843,0.007809735,-0.829410124,0.406872374,0.335267857,0.537818204,0/-,neg,2
Pseudobutyrivibrio xylanivorans,Ruminococcus bicirculans,0.116701574,0.012837524,0.172935009,0.001161167,0.804596576,0.421052518,0.346875,0.542090106,+/+,pos,1
Pseudobutyrivibrio xylanivorans,[Eubacterium] eligens,0.406823406,0,0.447461973,0,0.696329079,0.486222766,0.39905754,0.55292479,+/+,pos,2
Streptococcus anginosus,Streptococcus equinus,0.377541295,0,0.335748034,1.14E-10,-0.670742008,0.502384897,0.412450397,0.55292479,+/+,pos,2
Butyrivibrio proteoclasticus,[Eubacterium] eligens,0.411802263,0,0.448409382,0,0.629170435,0.529237482,0.436755952,0.561286562,+/+,pos,2
Fusobacterium periodonticum,Streptococcus anginosus,0.100215864,0.032775939,0.13160188,0.013741008,0.445553753,0.655919623,0.558730159,0.603103853,+/+,pos,1
Roseburia intestinalis,[Eubacterium] eligens,0.189071899,5.03E-05,0.218575718,3.71E-05,0.431118108,0.666382495,0.569047619,0.605471625,+/+,pos,1
Anaerostipes hadrus,Bifidobacterium catenulatum,0.084474978,0.072147718,0.113352037,0.034016754,0.408419272,0.682965887,0.586309524,0.612428952,0/+,pos,1
Bifidobacterium catenulatum,Bifidobacterium pseudocatenulatum,0.389198483,0,0.408759537,1.55E-15,0.325815626,0.744563856,0.654712302,0.632804993,+/+,pos,2
Adlercreutzia equolifaciens,Ruminococcus bicirculans,0.242495101,1.69E-07,0.263110602,5.95E-07,0.308424189,0.757759578,0.670882937,0.635527806,+/+,pos,1
Streptococcus equinus,Streptococcus milleri,0.398083664,0,0.412874397,8.88E-16,0.247894369,0.804216137,0.72609127,0.654084218,+/+,pos,2
Pseudobutyrivibrio xylanivorans,Adlercreutzia equolifaciens,0.276193309,2.16E-09,0.292128514,2.58E-08,0.242766006,0.808186671,0.731299603,0.65489562,+/+,pos,1
Bifidobacterium angulatum,Bifidobacterium pseudocatenulatum,0.134970289,0.003962708,0.119787496,0.025021075,-0.216130799,0.828885793,0.758085317,0.663520334,+/+,pos,1
Bifidobacterium catenulatum,Bifidobacterium angulatum,0.277825075,1.72E-09,0.264958363,4.92E-07,-0.194515494,0.845772265,0.781646825,0.670751985,+/+,pos,1
Anaerostipes hadrus,Bifidobacterium longum,0.15334756,0.001046127,0.1668203,0.001737793,0.19363757,0.846459678,0.782440476,0.670751985,+/+,pos,1
[Eubacterium] eligens,Ruminococcus bicirculans,0.181452112,0.00010111,0.194653043,0.000248596,0.191646124,0.84801941,0.783878968,0.670751985,+/+,pos,1
Bifidobacterium catenulatum,Bifidobacterium longum,0.206004733,9.65E-06,0.194326056,0.000254759,-0.170376586,0.864713985,0.806597222,0.679878299,+/+,pos,1
Gemella morbillorum,Streptococcus milleri,0.13105611,0.005160784,0.12293318,0.021427057,-0.115618701,0.907954741,0.863988095,0.691042149,+/+,pos,1
Butyrivibrio proteoclasticus,Lactococcus garvieae,0.102216342,0.029431789,0.110197853,0.039349111,0.113048744,0.90999191,0.866914683,0.691042149,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Butyrivibrio proteoclasticus,0.928909519,0,0.929853928,0,0.097069494,0.922671207,0.886210317,0.697396513,+/+,pos,3
Butyrivibrio proteoclasticus,Ruminococcus bicirculans,0.140818031,0.002636881,0.13575102,0.011010572,-0.072341863,0.94232985,0.914880952,0.705660053,+/+,pos,1
Anaerostipes hadrus,Bifidobacterium pseudocatenulatum,0.112993718,0.016010788,0.11770621,0.027674954,0.066883719,0.946674274,0.921428571,0.70675086,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Lactobacillus ruminis,0.104204476,0.026402479,0.107545092,0.044365423,0.047312323,0.962264307,0.945188492,0.710493105,+/+,pos,1
Butyrivibrio proteoclasticus,Adlercreutzia equolifaciens,0.290694171,2.72E-10,0.287698322,4.27E-08,-0.045782881,0.963483303,0.946577381,0.710493105,+/+,pos,1
Dialister pneumosintes,Fusobacterium periodonticum,0.310662801,1.29E-11,0.310680818,2.87E-09,0.000279271,0.999777174,0.999751984,0.721575249,+/+,pos,2
