Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Streptococcus milleri,Albugo candida,0.266759938,7.78E-09,0.054647524,0.211269664,-3.401392863,0.000670434,0.026736111,0.446238122,+/0,pos,1
Streptococcus salivarius,Schizosaccharomyces pombe,0.217145428,3.01E-06,0.005072261,0.90769706,-3.353417949,0.000798201,0.027579365,0.446238122,+/0,pos,1
Anaerostipes hadrus,Pichia kudriavzevii,0.435944468,0,0.246501041,1.05E-08,-3.352525422,0.000800779,0.027579365,0.446238122,+/+,pos,2
Clostridium beijerinckii,Naumovozyma dairenensis,0.217457398,2.91E-06,0.00563238,0.897557492,-3.34979827,0.000808704,0.027678571,0.446238122,+/0,pos,1
Fusobacterium periodonticum,Phytophthora capsici,0.12849397,0.006112538,-0.082826171,0.057891033,-3.301131342,0.000962958,0.028174603,0.446238122,+/0,pos,1
[Eubacterium] eligens,Pneumocystis murina,0.233719332,4.75E-07,0.028447932,0.5154326,-3.261309449,0.001108989,0.028422619,0.446238122,+/0,pos,1
Dialister pneumosintes,Pichia kudriavzevii,0.170040477,0.000273008,-0.037170612,0.395353216,-3.249356893,0.001156663,0.028521825,0.446238122,+/0,pos,1
Streptococcus milleri,Pichia kudriavzevii,0.247670197,8.98E-08,0.048347652,0.268817362,-3.181658246,0.001464345,0.029414683,0.446238122,+/0,pos,1
[Eubacterium] eligens,Schizosaccharomyces pombe,0.172564551,0.000220323,-0.029174931,0.504752797,-3.165295912,0.001549253,0.029712302,0.446238122,+/0,pos,1
Streptococcus thermophilus,Albugo candida,0.197173348,2.32E-05,-0.001275183,0.976746172,-3.127545611,0.001762725,0.030853175,0.446238122,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Rhizophagus irregularis,0.250760172,6.13E-08,0.066698816,0.126930396,-2.946499136,0.003213933,0.035515873,0.446238122,+/0,pos,1
Fusobacterium nucleatum,Thielaviopsis punctulata,0.155050376,0.000917545,-0.032636367,0.455540872,-2.939238714,0.003290196,0.035664683,0.446238122,+/0,pos,1
Parvimonas micra,Thielaviopsis punctulata,0.267990826,6.60E-09,0.085959922,0.049005997,-2.932491965,0.003362536,0.035813492,0.446238122,+/+,pos,1
Lactobacillus ruminis,Albugo candida,0.191466688,4.02E-05,0.008901222,0.838767291,-2.876998846,0.004014771,0.037698413,0.446238122,+/0,pos,1
Romboutsia ilealis,Aspergillus ochraceoroseus,0.215448594,3.61E-06,0.034243302,0.433643505,-2.871768268,0.004081822,0.037698413,0.446238122,+/0,pos,1
Butyrivibrio proteoclasticus,Rhizophagus irregularis,0.242158758,1.76E-07,0.067448326,0.12270715,-2.792340103,0.005232832,0.040277778,0.446238122,+/0,pos,1
Parvimonas micra,Erysiphe pulchra,0.295360777,1.36E-10,0.125021189,0.004117306,-2.780446299,0.005428424,0.040674603,0.446238122,+/+,pos,1
Romboutsia ilealis,Pseudocercospora musae,0.182256275,9.41E-05,0.005896349,0.892784662,-2.775290196,0.005515247,0.040873016,0.446238122,+/0,pos,1
Brachyspira pilosicoli,Coniochaeta ligniaria,0.139068831,0.002983324,-0.037384982,0.392631617,-2.759101421,0.005796054,0.041617063,0.446238122,+/0,pos,1
Clostridium beijerinckii,[Candida] arabinofermentans,0.256947007,2.80E-08,0.087953025,0.043971902,-2.716755319,0.006592533,0.043105159,0.446238122,+/+,pos,1
Streptococcus equinus,Lipomyces starkeyi,0.134113265,0.0042011,-0.039070104,0.37163449,-2.706802698,0.006793462,0.043253968,0.446238122,+/0,pos,1
Streptococcus equinus,Pichia kudriavzevii,0.191117994,4.15E-05,0.021681026,0.620142162,-2.672531221,0.007528137,0.044444444,0.446238122,+/0,pos,1
Streptococcus salivarius,Albugo candida,0.218533918,2.60E-06,0.051675569,0.237204255,-2.650466186,0.008038077,0.045238095,0.446238122,+/0,pos,1
Parvimonas micra,Tuber magnatum,-0.100626471,0.032064256,0.067017253,0.125122525,2.614560852,0.008934224,0.046676587,0.446238122,-/0,neg,2
Pseudobutyrivibrio xylanivorans,Albugo candida,0.292196216,2.18E-10,0.133227288,0.002220834,-2.596762022,0.00941071,0.047420635,0.446238122,+/+,pos,1
Butyrivibrio proteoclasticus,Albugo candida,0.269918754,5.09E-09,0.109589227,0.011984812,-2.593702014,0.009494874,0.047470238,0.446238122,+/+,pos,1
Lactobacillus ruminis,Naumovozyma dairenensis,0.157420361,0.000762772,-0.007459618,0.86460412,-2.58522607,0.009731517,0.04796627,0.446238122,+/0,pos,1
[Eubacterium] eligens,Pichia kudriavzevii,0.237551597,3.04E-07,0.076939805,0.078183925,-2.567887835,0.010232026,0.048462302,0.446238122,+/0,pos,1
Romboutsia ilealis,Naumovozyma dairenensis,0.177695783,0.000141171,0.014756536,0.73587028,-2.564142471,0.010343108,0.048611111,0.446238122,+/0,pos,1
Romboutsia ilealis,Pichia kudriavzevii,0.374952092,0,0.225451957,1.78E-07,-2.563140034,0.01037302,0.048611111,0.446238122,+/+,pos,2
[Eubacterium] eligens,Rhizophagus clarus,0.141823861,0.002454677,-0.020739931,0.635407329,-2.543681067,0.010969119,0.049553571,0.446238122,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Rhizophagus clarus,0.248495653,8.12E-08,0.094953365,0.029601185,-2.466516889,0.013643429,0.053422619,0.446238122,+/+,pos,1
Butyrivibrio proteoclasticus,Pneumocystis murina,0.267121689,7.41E-09,0.114753548,0.008494238,-2.465458774,0.013683792,0.053472222,0.446238122,+/+,pos,1
Parvimonas micra,Aspergillus ochraceoroseus,0.158660803,0.000691759,0.002319713,0.957712237,-2.452896588,0.014171107,0.054166667,0.446238122,+/0,pos,1
Butyrivibrio proteoclasticus,Rhizophagus clarus,0.241000657,2.02E-07,0.088719738,0.04215491,-2.440292178,0.014675387,0.054960317,0.446238122,+/+,pos,1
Streptococcus thermophilus,Pseudocercospora musae,0.139865102,0.002820784,-0.015676316,0.720077368,-2.433805846,0.014941007,0.05515873,0.446238122,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Pichia kudriavzevii,0.334157787,2.64E-13,0.188945098,1.31E-05,-2.430583132,0.015074547,0.055257937,0.446238122,+/+,pos,2
Dialister pneumosintes,Paracoccidioides brasiliensis,-0.107030095,0.022561005,0.047648984,0.27580472,2.412979838,0.015822695,0.05610119,0.446238122,-/0,neg,2
Butyrivibrio proteoclasticus,Thielaviopsis punctulata,-0.135679545,0.003774753,0.017863398,0.683010236,2.401469546,0.016329368,0.056845238,0.446238122,-/0,neg,2
Lactobacillus ruminis,Pneumocystis murina,0.149692506,0.001380066,-0.001507433,0.972512483,-2.369528775,0.017810769,0.058680556,0.451817658,+/0,pos,1
Streptococcus anginosus,Albugo candida,0.196998746,2.36E-05,0.049272106,0.25975965,-2.337840991,0.019395498,0.061011905,0.452192757,+/0,pos,1
Roseburia intestinalis,Pneumocystis murina,0.289286631,3.35E-10,0.146452835,0.000763158,-2.337496181,0.019413399,0.061011905,0.452192757,+/+,pos,1
Streptococcus salivarius,Lipomyces starkeyi,0.146020521,0.001811839,-0.002865645,0.947772872,-2.332261744,0.019686926,0.061259921,0.452192757,+/0,pos,1
[Eubacterium] eligens,Tuber magnatum,0.128489701,0.006114247,-0.020300045,0.642596442,-2.325561557,0.020041952,0.06140873,0.452192757,+/0,pos,1
Butyrivibrio proteoclasticus,Erysiphe pulchra,-0.111413403,0.017559918,0.033798698,0.439640525,2.266183938,0.023440124,0.065277778,0.452192757,-/0,neg,2
Porphyromonas asaccharolytica,Aspergillus rambellii,0.150873963,0.001262694,0.007359176,0.866409989,-2.250409617,0.024422955,0.066121032,0.452192757,+/0,pos,1
Bifidobacterium longum,Cordyceps sp. RAO-2017,0.153178717,0.001059743,0.011641205,0.790156987,-2.220495388,0.026385158,0.067460317,0.453241243,+/0,pos,1
Anaerostipes hadrus,Baudoinia panamericana,0.104388644,0.026135961,0.242003105,1.96E-08,2.210823845,0.027048038,0.067956349,0.453241243,+/+,pos,1
Butyrivibrio proteoclasticus,Edhazardia aedis,0.263352049,1.22E-08,0.131963672,0.002447802,-2.130539468,0.033127101,0.074404762,0.471497307,+/+,pos,1
Pseudobutyrivibrio xylanivorans,[Candida] arabinofermentans,0.246339372,1.06E-07,0.116054059,0.007772546,-2.098862399,0.035829032,0.077083333,0.471497307,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Thielaviopsis punctulata,-0.112852396,0.016144271,0.020355286,0.641691776,2.079584895,0.037563624,0.078422619,0.471497307,-/0,neg,2
Streptococcus milleri,Lipomyces starkeyi,0.108130165,0.021202006,-0.024854989,0.569879006,-2.075251422,0.037963239,0.078869048,0.471497307,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Pneumocystis murina,0.288902758,3.54E-10,0.162834382,0.000178856,-2.069917642,0.038460058,0.07921627,0.471497307,+/+,pos,1
Lactobacillus ruminis,Aspergillus ochraceoroseus,0.120155928,0.010394337,-0.010378226,0.812474774,-2.039524265,0.041397732,0.081349206,0.471497307,+/0,pos,1
Clostridium beijerinckii,Pneumocystis murina,0.29789405,9.33E-11,0.174373891,5.90E-05,-2.038201074,0.041529828,0.08139881,0.471497307,+/+,pos,1
Dialister pneumosintes,Hyaloscypha variabilis,-0.115773911,0.013574461,0.014334306,0.74315803,2.031946298,0.042159093,0.081845238,0.471497307,-/0,neg,2
Clostridium beijerinckii,Rhizophagus clarus,0.30449053,3.40E-11,0.181850276,2.77E-05,-2.030940932,0.042260987,0.081845238,0.471497307,+/+,pos,2
Streptococcus milleri,Naumovozyma dairenensis,0.124604183,0.007860059,-0.005240291,0.904653647,-2.029843472,0.042372453,0.081894841,0.471497307,+/0,pos,1
Butyrivibrio proteoclasticus,Colletotrichum salicis,0.134287203,0.004151694,0.004614125,0.916001726,-2.029744271,0.04238254,0.081894841,0.471497307,+/0,pos,1
Bifidobacterium longum,Colletotrichum fioriniae,0.132942672,0.004547664,0.004511196,0.917868821,-2.010051147,0.044425776,0.083184524,0.471497307,+/0,pos,1
Butyrivibrio proteoclasticus,[Candida] arabinofermentans,0.247196496,9.52E-08,0.12393123,0.004457575,-1.988740174,0.046729889,0.085515873,0.478595367,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Tuber magnatum,0.203848445,1.20E-05,0.080972209,0.06374928,-1.953612704,0.050747037,0.088888889,0.487539642,+/0,pos,1
Streptococcus thermophilus,Rhizophagus irregularis,0.204148941,1.16E-05,0.082939659,0.057547419,-1.927679419,0.053895014,0.091468254,0.496253583,+/0,pos,1
Anaerostipes hadrus,Rhizophagus clarus,0.269524183,5.37E-09,0.152409005,0.000457813,-1.909283407,0.056225542,0.092708333,0.501448052,+/+,pos,1
Clostridium beijerinckii,Schizosaccharomyces pombe,0.180103837,0.000114066,0.06010813,0.169065985,-1.896286871,0.057922121,0.094146825,0.501609031,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Naumovozyma dairenensis,0.158922754,0.000677568,0.038769205,0.375331972,-1.889806224,0.058783881,0.094742063,0.501609031,+/0,pos,1
Bifidobacterium catenulatum,Colletotrichum fioriniae,0.109992486,0.01906302,-0.009738671,0.823835637,-1.86936073,0.061572644,0.096676587,0.501609031,+/0,pos,1
Streptococcus equinus,Schizosaccharomyces pombe,0.122688439,0.008874726,0.003284929,0.940144707,-1.866971766,0.061905531,0.096924603,0.501609031,+/0,pos,1
Adlercreutzia equolifaciens,Rhizophagus clarus,0.102129639,0.029570417,-0.017407363,0.690680119,-1.864971115,0.062185453,0.097073413,0.501609031,+/0,pos,1
Butyrivibrio proteoclasticus,Pseudocercospora musae,0.283548151,7.67E-10,0.170915872,8.29E-05,-1.849886086,0.06432997,0.098660714,0.501609031,+/+,pos,1
Clostridium beijerinckii,Rhizophagus irregularis,0.26493306,9.91E-09,0.1530179,0.000434051,-1.822679345,0.06835197,0.101884921,0.508506452,+/+,pos,1
Streptococcus equinus,Hyaloscypha variabilis,0.146311322,0.001773593,0.030985932,0.478662901,-1.81017165,0.070269173,0.103323413,0.508506452,+/0,pos,1
Butyrivibrio proteoclasticus,Pichia kudriavzevii,0.269475249,5.40E-09,0.158712881,0.000261152,-1.807974386,0.070610487,0.103621032,0.508506452,+/+,pos,1
Romboutsia ilealis,Colletotrichum fioriniae,0.106412598,0.023356425,-0.008778929,0.840952744,-1.798086259,0.072163339,0.104662698,0.508506452,+/0,pos,1
[Eubacterium] eligens,Edhazardia aedis,0.107333429,0.022178938,-0.007440488,0.864948006,-1.791754508,0.073172299,0.105555556,0.508506452,+/0,pos,1
Streptococcus thermophilus,Rhizophagus clarus,0.169086228,0.000295829,0.0556075,0.203346354,-1.78976069,0.073492391,0.106051587,0.508506452,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Edhazardia aedis,0.248683245,7.93E-08,0.140506764,0.001247607,-1.750956379,0.079953424,0.111259921,0.525434992,+/+,pos,1
Bifidobacterium longum,Hyaloscypha variabilis,0.11486085,0.014335919,0.004888773,0.911022006,-1.718523454,0.08570118,0.114732143,0.531685813,+/0,pos,1
Parvimonas micra,Hyaloscypha variabilis,-0.094658102,0.043813111,0.015504425,0.723019994,1.718007365,0.085795272,0.114781746,0.531685813,-/0,neg,1
Fusobacterium nucleatum,Erysiphe pulchra,0.207621963,8.18E-06,0.100554215,0.021203683,-1.707767346,0.08767952,0.116319444,0.533239575,+/+,pos,1
Butyrivibrio proteoclasticus,Paracoccidioides brasiliensis,0.123161623,0.008613815,0.015346512,0.725726936,-1.686809806,0.091639929,0.11860119,0.534040072,+/0,pos,1
[Eubacterium] eligens,Aspergillus ochraceoroseus,0.160175509,0.000613357,0.053202568,0.223611687,-1.684812523,0.092024748,0.118948413,0.534247593,+/0,pos,1
Fusobacterium nucleatum,Aspergillus ochraceoroseus,0.115320824,0.013947748,0.008594934,0.844243175,-1.668122722,0.095291367,0.12172619,0.538954977,+/0,pos,1
Clostridium beijerinckii,Edhazardia aedis,0.312175988,1.02E-11,0.212884992,8.53E-07,-1.660690202,0.096775682,0.122718254,0.540238014,+/+,pos,2
Butyrivibrio proteoclasticus,Naumovozyma dairenensis,0.158880792,0.000679823,0.055214982,0.206559591,-1.632752265,0.10252111,0.127430556,0.550437094,+/0,pos,1
Streptococcus salivarius,Naumovozyma dairenensis,0.098318011,0.036243067,-0.006169293,0.887853606,-1.630246829,0.10304934,0.127827381,0.550437094,+/0,pos,1
Adlercreutzia equolifaciens,Rhizophagus irregularis,0.095221865,0.042566861,-0.008641703,0.84340654,-1.620091498,0.105212623,0.129315476,0.552047944,+/0,pos,1
Bifidobacterium adolescentis,Cordyceps sp. RAO-2017,0.139048329,0.00298762,0.036333583,0.406088333,-1.611571617,0.107055191,0.130605159,0.552047944,+/0,pos,1
Dialister pneumosintes,Pneumocystis murina,-0.092417621,0.049073501,0.008428369,0.847224221,1.572765774,0.115773063,0.136309524,0.560655255,-/0,neg,1
Romboutsia ilealis,Tuber magnatum,0.142143562,0.002399215,0.042630283,0.329611105,-1.562590829,0.118148867,0.137698413,0.56159172,+/0,pos,1
Ruminococcus bicirculans,Pneumocystis murina,0.159110569,0.00066756,0.063488177,0.14630836,-1.507274757,0.131740245,0.146527778,0.573847694,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Pseudocercospora musae,0.320959719,2.45E-12,0.231595239,8.01E-08,-1.506370609,0.131972061,0.14672619,0.573847694,+/+,pos,2
Butyrivibrio proteoclasticus,Tuber magnatum,0.168829964,0.000302254,0.073595225,0.092076575,-1.504679883,0.132406397,0.146974206,0.573847694,+/0,pos,1
Streptococcus equinus,Pseudocercospora musae,0.152263251,0.001136457,0.057803097,0.186040217,-1.486876731,0.137047371,0.149652778,0.577366917,+/0,pos,1
Butyrivibrio proteoclasticus,Hyaloscypha variabilis,0.120120057,0.010417424,0.025763992,0.55584925,-1.476675183,0.139762727,0.151041667,0.577510397,+/0,pos,1
Butyrivibrio proteoclasticus,Aspergillus rambellii,-0.114789591,0.014396895,-0.021709399,0.619684405,1.455704682,0.145474275,0.154315476,0.579571511,-/0,neg,2
Anaerostipes hadrus,Albugo candida,0.244805454,1.28E-07,0.155052521,0.000362722,-1.455413385,0.145554853,0.154365079,0.579571511,+/+,pos,1
Roseburia intestinalis,Edhazardia aedis,0.117887194,0.011947167,0.025830132,0.55483503,-1.440414799,0.149750079,0.156646825,0.579571511,+/0,pos,1
Streptococcus salivarius,Edhazardia aedis,0.099682755,0.033720027,0.007451551,0.864749135,-1.439811219,0.149920816,0.156696429,0.579571511,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Colletotrichum salicis,0.10598808,0.023917233,0.015389994,0.724981212,-1.41544011,0.156939497,0.161111111,0.580953549,+/0,pos,1
Bifidobacterium catenulatum,Pneumocystis murina,0.1411548,0.002574548,0.052082928,0.233522492,-1.39952932,0.161654312,0.164781746,0.584456738,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Leucoagaricus sp. SymC.cos,0.131751734,0.00492654,0.04289468,0.326617667,-1.39373569,0.163397434,0.166170635,0.584931166,+/0,pos,1
Streptococcus equinus,Albugo candida,0.147884191,0.001579247,0.059775131,0.171443948,-1.386410134,0.165621704,0.167460317,0.588303661,+/0,pos,1
Bifidobacterium catenulatum,Hyaloscypha variabilis,0.117269215,0.012404195,0.029816541,0.495424904,-1.368611146,0.171120858,0.171180556,0.596378643,+/0,pos,1
Bifidobacterium pseudocatenulatum,Colletotrichum fioriniae,0.111561994,0.017408879,0.024592756,0.573957455,-1.359973898,0.173838184,0.172867063,0.596776702,+/0,pos,1
Anaerostipes hadrus,Pneumocystis murina,0.229042896,8.12E-07,0.144805097,0.000876141,-1.358704542,0.174240232,0.173313492,0.596776702,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Aspergillus rambellii,-0.102073443,0.029660567,-0.016153407,0.711931754,1.342004287,0.179594606,0.176537698,0.597820819,-/0,neg,2
Bifidobacterium pseudocatenulatum,[Candida] arabinofermentans,0.112143423,0.016828735,0.027841169,0.524434821,-1.318569028,0.187313234,0.180952381,0.597820819,+/0,pos,1
Anaerostipes hadrus,Edhazardia aedis,0.223728899,1.47E-06,0.142247009,0.001082518,-1.312208203,0.189449895,0.182291667,0.598605971,+/+,pos,1
Parvimonas micra,Lipomyces starkeyi,-0.10462995,0.025790268,-0.021172493,0.628371174,1.304101126,0.192199105,0.183878968,0.599672561,-/0,neg,2
Pseudobutyrivibrio xylanivorans,Paracoccidioides brasiliensis,0.162636382,0.000503336,0.080404981,0.065636252,-1.299060774,0.193923074,0.18546627,0.600947756,+/0,pos,1
[Eubacterium] eligens,Albugo candida,0.171551747,0.000240204,0.091555183,0.035975971,-1.266988774,0.205159304,0.192460317,0.603572704,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Schizosaccharomyces pombe,0.204620448,1.11E-05,0.129003481,0.003064649,-1.210542041,0.226070969,0.205952381,0.621398943,+/+,pos,1
Roseburia intestinalis,Tuber magnatum,0.147507599,0.001623912,0.071733484,0.100627619,-1.193600711,0.232634196,0.21046627,0.627380423,+/0,pos,1
Butyrivibrio proteoclasticus,Sphaerulina musiva,-0.119658858,0.010718346,-0.043998669,0.314309493,1.185404713,0.235857469,0.212797619,0.629211328,-/0,neg,2
Butyrivibrio proteoclasticus,Leucoagaricus sp. SymC.cos,0.1481141,0.001552537,0.077072242,0.077670923,-1.1197392,0.262824915,0.23125,0.642782243,+/0,pos,1
Anaerostipes hadrus,Rhizophagus irregularis,0.248677411,7.94E-08,0.182273015,2.65E-05,-1.083705435,0.278495425,0.241765873,0.648059429,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Hyaloscypha variabilis,0.093480747,0.046514987,0.024572957,0.574265937,-1.076034439,0.281911855,0.243700397,0.648059429,+/0,pos,1
Clostridium beijerinckii,Pseudocercospora musae,0.158160043,0.000719655,0.090337286,0.038528648,-1.071961421,0.28373736,0.244543651,0.648059429,+/+,pos,1
Romboutsia ilealis,Edhazardia aedis,0.215932559,3.43E-06,0.149842786,0.000571878,-1.064050881,0.287305651,0.246974206,0.650349988,+/+,pos,1
Adlercreutzia equolifaciens,Edhazardia aedis,0.105106308,0.025119394,0.037087422,0.396412422,-1.063822676,0.287409037,0.247073413,0.650349988,+/0,pos,1
Butyrivibrio proteoclasticus,Schizosaccharomyces pombe,0.193599229,3.28E-05,0.129678089,0.00291279,-1.021356948,0.307085355,0.260515873,0.662155188,+/+,pos,1
Streptococcus salivarius,Rhizophagus irregularis,0.10565527,0.024364996,0.042102924,0.335634476,-0.994319331,0.320067427,0.271428571,0.66608934,+/0,pos,1
Streptococcus thermophilus,[Candida] arabinofermentans,0.108516599,0.020741779,0.045014493,0.303256491,-0.993968083,0.320238406,0.271626984,0.66608934,+/0,pos,1
Anaerostipes hadrus,[Candida] arabinofermentans,0.216790791,3.13E-06,0.275637098,1.31E-10,0.974795608,0.329661656,0.278571429,0.677089308,+/+,pos,1
Romboutsia ilealis,[Candida] arabinofermentans,0.158208979,0.000716884,0.097193015,0.025951404,-0.965155659,0.334466852,0.281894841,0.677089308,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Sphaerulina musiva,-0.102646206,0.028752688,-0.043140209,0.323853661,0.930836116,0.351938345,0.294345238,0.677089308,-/0,neg,2
Butyrivibrio proteoclasticus,Phytophthora capsici,-0.13355253,0.004364015,-0.075339323,0.084603592,0.915760447,0.359792553,0.300248016,0.677089308,-/0,neg,2
Streptococcus salivarius,Rhizophagus clarus,0.094338937,0.044532169,0.03635373,0.40582792,-0.906081233,0.364892858,0.303869048,0.679296865,+/0,pos,1
Romboutsia ilealis,Rhizophagus clarus,0.231734528,5.97E-07,0.176614681,4.72E-05,-0.894957918,0.370809584,0.30843254,0.682642427,+/+,pos,1
Romboutsia ilealis,Pneumocystis murina,0.22566733,1.19E-06,0.171884328,7.54E-05,-0.871258663,0.383612936,0.317460317,0.68452661,+/+,pos,1
Bifidobacterium pseudocatenulatum,Pseudocercospora musae,0.099176466,0.034637982,0.044015314,0.31412628,-0.862671278,0.388318228,0.321180556,0.68452661,+/0,pos,1
Pseudobutyrivibrio xylanivorans,Phytophthora capsici,-0.138531192,0.003097839,-0.084030149,0.05433107,0.85861382,0.390553611,0.323015873,0.68452661,-/0,neg,2
Anaerostipes hadrus,Naumovozyma dairenensis,0.096442007,0.039971672,0.047274335,0.279602014,-0.768926578,0.441936899,0.364186508,0.70506716,+/0,pos,1
Ruminococcus bicirculans,Colletotrichum salicis,0.101497293,0.030598491,0.052381549,0.230849294,-0.768698958,0.442072044,0.364285714,0.70506716,+/0,pos,1
Bifidobacterium longum,Pseudocercospora musae,0.101550738,0.030510433,0.052519239,0.229624056,-0.767391277,0.442848913,0.364732143,0.70506716,+/0,pos,1
Adlercreutzia equolifaciens,Pseudocercospora musae,0.14159982,0.002494237,0.093373708,0.032432759,-0.76080943,0.446770901,0.368055556,0.707540366,+/+,pos,1
Anaerostipes hadrus,Pseudocercospora musae,0.228613295,8.52E-07,0.182627622,2.55E-05,-0.747042041,0.455038184,0.374801587,0.70947229,+/+,pos,1
Bifidobacterium pseudocatenulatum,Phytophthora capsici,-0.098192457,0.036483037,-0.051989164,0.234366343,0.722895077,0.469744349,0.3875,0.710830979,-/0,neg,1
Butyrivibrio proteoclasticus,Trichoderma atroviride,0.115504289,0.013795521,0.073654088,0.091816014,-0.656951448,0.511212136,0.423065476,0.723088163,+/0,pos,1
Roseburia intestinalis,Phytophthora capsici,-0.105259135,0.024907378,-0.065634592,0.133119668,0.620973115,0.534617312,0.443055556,0.723834241,-/0,neg,2
Roseburia intestinalis,Pichia kudriavzevii,0.189842392,4.68E-05,0.152605339,0.000450022,-0.596792309,0.550646053,0.457688492,0.723834241,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Baudoinia panamericana,0.110103895,0.018941243,0.147156399,0.000719156,0.586117131,0.557796805,0.464136905,0.723834241,+/+,pos,1
Butyrivibrio proteoclasticus,Lipomyces starkeyi,0.332784788,3.34E-13,0.301959006,1.57E-12,-0.53326617,0.593849342,0.49890873,0.740667759,+/+,pos,2
[Eubacterium] eligens,Rhizophagus irregularis,0.139800701,0.002833624,0.107791447,0.013468722,-0.505696521,0.613069711,0.517559524,0.75478282,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Colletotrichum fioriniae,0.131235695,0.005099369,0.10030753,0.021524479,-0.487661541,0.625789597,0.530406746,0.758058664,+/+,pos,1
Adlercreutzia equolifaciens,[Candida] arabinofermentans,0.127800579,0.006395861,0.156045603,0.000332025,0.448412669,0.6538554,0.558730159,0.770201901,+/+,pos,1
